Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Africa Western and Central,AFW,Pump price for diesel fuel (US$ per liter),,0.88,,,,,
Africa Western and Central,AFW,Population in urban agglomerations of more than 1 million (% of total population),16.59090381,16.73375894,16.88130002,17.03883468,17.17460318,17.32135843,17.48353424
Africa Western and Central,AFW,Population in urban agglomerations of more than 1 million,,,,,,,
Africa Western and Central,AFW,Population in the largest city (% of urban population),24.16729202,24.04419679,23.9330832,23.84048816,23.71953719,23.61622742,23.53857921
Africa Western and Central,AFW,Population in largest city,,,,,,,
Africa Western and Central,AFW,Population living in slums (% of urban population),,51.12099652,,48.69823378,,46.25718037,
Africa Western and Central,AFW,Urban population living in areas where elevation is below 5 meters (% of total population),2.376909467,,,,,,
Africa Western and Central,AFW,Population density (people per sq. km of land area),45.18022492,46.40599086,47.66186045,48.93406926,50.22298387,51.53667929,
Africa Western and Central,AFW,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",100,100,100,,,,
Africa Western and Central,AFW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.2116493,57.33404919,57.92978313,,,,
Africa Western and Central,AFW,"Access to electricity, urban (% of urban population)",78.19041966,81.51313823,,,,83.16540234,
Africa Western and Central,AFW,Urban land area (sq. km),51046.98769,,,,,,
Africa Western and Central,AFW,Urban land area where elevation is below 5 meters (% of total land area),0.025939876,,,,,,
Africa Western and Central,AFW,Urban land area where elevation is below 5 meters (sq. km),2368.04412,,,,,,
Angola,AGO,Urban population (% of total population),63.446,64.149,64.839,65.514,66.177,66.825,67.46
Angola,AGO,Urban population,17845914,18702478,19586972,20488542,21410634,22338586,23276246
Angola,AGO,Urban population growth (annual %),4.75101947,4.688145399,4.62086229,4.500115171,4.402191144,4.242778261,4.111785847
Angola,AGO,"Mortality caused by road traffic injury (per 100,000 population)",23.6,24.7,25.5,26,26.1,,
Angola,AGO,Pump price for gasoline (US$ per liter),,0.97,,,,,
Angola,AGO,Pump price for diesel fuel (US$ per liter),,0.82,,,,,
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),24.96898345,24.920296,24.87814077,24.85871999,24.86504743,24.91826283,25.01719377
Angola,AGO,Population in urban agglomerations of more than 1 million,7023206,7265449,7515345,7774200,8044735,8329798,8631876
Angola,AGO,Population in the largest city (% of urban population),39.35470047,38.84752063,38.36910065,37.94413482,37.57354873,37.28883287,37.08448519
Angola,AGO,Population in largest city,7023206,7265449,7515345,7774200,8044735,8329798,8631876
Angola,AGO,Population living in slums (% of urban population),,56.44953,,62.58105,,62.6,
Angola,AGO,Urban population living in areas where elevation is below 5 meters (% of total population),1.220314734,,,,,,
Angola,AGO,Population density (people per sq. km of land area),22.56173979,23.38553461,24.2308719,25.08505093,25.95138205,26.81357664,
Angola,AGO,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",100,100,100,,,,
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",32.72987314,31.78538881,32.38850491,,,,
Angola,AGO,"Access to electricity, urban (% of urban population)",64,67.9733963,69.41117096,65.26999664,72.27718353,73.70891571,
Angola,AGO,Urban land area (sq. km),2991.346987,,,,,,
Angola,AGO,Urban land area where elevation is below 5 meters (% of total land area),0.00718679,,,,,,
Angola,AGO,Urban land area where elevation is below 5 meters (sq. km),90.12171291,,,,,,
Albania,ALB,Urban population (% of total population),57.434,58.421,59.383,60.319,61.229,62.112,62.969
Albania,ALB,Urban population,1654503,1680247,1706345,1728969,1747593,1762645,1770478
Albania,ALB,Urban population growth (annual %),1.484764333,1.54401448,1.541284964,1.317162104,1.071413549,0.857610923,0.44340448
Albania,ALB,"Mortality caused by road traffic injury (per 100,000 population)",13.8,13.8,11.4,11,11.7,,
Albania,ALB,Pump price for gasoline (US$ per liter),,1.36,,,,,
Albania,ALB,Pump price for diesel fuel (US$ per liter),,1.35,,,,,
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),,,,,,,
Albania,ALB,Population in urban agglomerations of more than 1 million,,,,,,,
Albania,ALB,Population in the largest city (% of urban population),27.15607043,27.25146958,27.34798649,27.50639254,27.73094193,28.00972402,28.39538249
Albania,ALB,Population in largest city,449298,457892,466651,475577,484624,493712,502734
Albania,ALB,Population living in slums (% of urban population),,7.8,,5.3,,2.8,
Albania,ALB,Urban population living in areas where elevation is below 5 meters (% of total population),6.367258895,,,,,,
Albania,ALB,Population density (people per sq. km of land area),105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5711314,
Albania,ALB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",100,100,100,,,,
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.51253962,18.18993375,18.20060252,,,,
Albania,ALB,"Access to electricity, urban (% of urban population)",100,100,100,100,100,100,
