Country Name,Country Code,national_courage,national_courage_unweighted,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio,ipums_edu_tertiary_attain,ipums_edu_adult_literacy,ipums_urbanisation,ipums_idv,wvs_idv,global_terrorism_index,hofstede_idv,hofstede_mas,global_innovation_index,hofstede_pwd,hofstede_una,hofstede_lto,hofstede_idg,uz_tightloose,eriksson_tightloose,allik_big_five_openness,allik_big_five_conscientiousness,allik_big_five_extraversion,allik_big_five_agreeableness,allik_big_five_neuroticism,global_giving_index_rank,GLOBE_future_orientation_societal_practices,GLOBE_future_orientation_societal_values,GLOBE_humane_orientation_societal_practices,GLOBE_humane_orientation_societal_values,GLOBE_performance_orientation_societal_practices,GLOBE_performance_orientation_societal_values,rosenberg_self_esteem
Pakistan,PAK,0.6782680401758494,0.7057467532467532,,,,,,79.58989,72.9792,55.85644,10.35523,1480.11072689193,0.3643545430271762,57.99885941,72.70355988,72.92545319,67.5748,37.40039,12.22064018,348263000000.0,1505.010193,5426.01978790109,1198566159001.6,294.7238753,18.998212,19.95654906,37.44,0.0186419715845676,0.355313565201653,0.333504268347863,-4.16246167015469,-0.307489579515363,7.541,14.0,50.0,22.31,55.0,70.0,50.0,0.0,0.0,,,,,,,108.0,,,,,,,
Panama,PAN,0.5172378653045691,0.6653947368421053,,,,,,93.23974,95.89735,93.59704,38.73935,14617.596617491,0.7166339735005621,95.73607635,98.88173676,86.94606781,86.23979,63.79138,44.38285065,63605100000.0,14617.60448,26780.3006033508,115550784073.719,57.89156107,63.45957206,43.64432245,68.775,0.09235037653587,0.755591416114603,0.648859068002944,-0.106869876496887,,0.019,11.0,44.0,29.04,95.0,86.0,,,,,,,,,,84.0,,,,,,,
Peru,PER,0.6715022514605089,0.6817496318114875,,,,,,90.50577,92.81158,100.32442,40.51279,6621.65260383678,0.8202828914403454,94.49793243,99.43636322,116.2062225,95.65167,89.30975,70.73786163,223249000000.0,6621.574336,11908.0607001648,392630743564.487,26.01934063,41.11876288,32.27822918,78.5,0.0649106583539659,0.826566834710497,0.755869104793724,-0.527692577247672,0.722869988527312,2.141,16.0,42.0,28.79,64.0,87.0,25.0,46.0,52.3,1.7,50.0,49.0,45.5,48.6,50.8,68.0,,,,,,,33.01
Philippines,PHL,0.6965368843806716,0.6934087497464332,,,,,,75.77984,95.9844,92.06591,35.75333,3460.53112301115,,96.27816772,98.38450623,94.82428741,93.7756,65.55881,35.52219009,394086000000.0,3460.530963,8394.24225784877,919850174367.918,376.2651407,26.07342553,14.07176664,47.684,0.0929111572988989,0.830915844867996,1.0,-1.46680884899593,0.0638908757877692,7.099,32.0,64.0,35.19,94.0,44.0,27.0,42.0,31.5,,51.8,51.5,43.8,52.9,50.8,20.0,4.15,5.93,5.12,5.36,4.47,6.31,29.98
Poland,POL,0.5684295806575945,0.6121846053489889,6.7923322,33.234364,59.973305,1643788.812,43455.436916,98.53229,96.94361,100.21169,71.15869,17736.4195570017,,99.80000305,99.90000153,95.02263641,95.78475,94.08406,70.47712708,679445000000.0,17999.90995,34286.9850845384,1299444847807.88,123.8005749,7.891929054,4.741076433,60.075,0.118949861823924,1.0,1.0,1.6903926700055902e-15,,0.239,60.0,64.0,39.95,68.0,93.0,38.0,29.0,42.8,1.7,44.7,48.0,44.5,47.4,53.9,16.0,3.11,5.2,3.61,5.3,3.89,6.12,30.34
Portugal,PRT,0.628393122993372,0.6555453390906782,40.549065,31.08424,28.366695,435020.402,42341.460754,,98.60871,116.97225,65.60738,24651.1764348733,,96.77999878,99.70999908,105.4502487,97.56411,94.66479,70.38208771,253663000000.0,24567.50927,34177.085710564,351924219905.62,112.406676,43.05238952,41.529985,66.849,0.117422194764074,0.89327361186192,0.630936751872731,0.998350727217995,,0.0,27.0,31.0,43.51,63.0,99.0,28.0,33.0,87.4,2.0,49.2,50.3,46.3,51.2,55.5,114.0,3.71,5.43,3.91,5.31,3.6,6.4,31.3
Puerto Rico,PRI,0.618134573287492,0.676831215970962,,,,,,,81.60752,87.87756,85.33584,32716.4569837852,,92.40000153,92.40000153,,76.27147,75.91911,97.49925232,106526000000.0,32640.71034,34333.7472481387,112667496277.163,369.9591883,80.06216496,74.93179278,93.592,0.162040970452185,1.0,1.0,1.06940079738482,0.923906330191062,,27.0,56.0,,68.0,38.0,0.0,90.0,63.1,,,,,,,,,,,,,,
Qatar,QAT,0.7112778690664199,0.6821090425531915,,,,,,97.73958,92.09112,101.51929,15.83137,66798.76705368,,93.46396637,94.64411163,94.9597168,94.09431,,25.04125023,179677000000.0,66838.35743,89961.4332328736,259184286829.903,240.2423847,28.44599086,,99.278,,,,,,0.014,25.0,55.0,30.81,93.0,80.0,,,,2.5,,,,,,,3.78,5.92,4.42,5.3,3.45,5.96,
Romania,ROU,0.5828476435271245,0.6643937799043063,,,,,,94.04994,86.987,94.48082,53.21586,14697.7542889102,,98.90000153,99.5,85.29187012,82.22835,82.84805,53.23083878,284088000000.0,14858.22943,32202.2086556273,620134677229.915,83.73283206,17.27291281,9.384201156,54.329,0.124676202275031,0.881480647220032,0.539437624357097,0.91050763480536,0.168981973247793,0.0,30.0,42.0,35.95,90.0,90.0,52.0,20.0,42.4,,46.7,50.8,46.7,46.2,48.9,106.0,,,,,,,29.54
Russia,RUS,0.6217172138161124,0.6255214880244607,4.8022981,56.725521,38.472183,4367291.715,29819.046969,96.44676,95.21313,98.68286,78.65337,12258.7720197789,,99.69999695,99.69999695,105.225853,95.09612,90.67886,86.40014648,1778780000000.0,12194.77734,,,8.797354989,11.71549349,23.68134966,74.934,0.195746004588405,0.866508535210172,0.73779989889956,0.991179675963603,-0.877969756250079,4.542,39.0,36.0,35.63,93.0,95.0,81.0,20.0,57.2,1.67,47.0,46.05,43.7,43.650000000000006,55.1,,2.88,5.48,3.94,5.59,3.39,5.54,
Samoa,WSM,0.6400208604559781,0.6417098121085595,,,,,,89.95051,96.05325,102.30564,7.56238,3918.65810408444,,99.09999847,99.09999847,114.1693497,94.41308,85.51776,18.53573036,843842416.5,3857.318464,6764.5599909255,1342156347.79953,77.31258993,,,17.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,0.6222166783409901,0.6674786666666667,,,,,,98.68772,96.41565,108.14994,61.11202,23185.8707917802,,97.58506775,99.49841309,104.875267,94.5456,96.36052,71.40963745,833541000000.0,23185.87079,46778.2983720365,1628533458010.4,16.7452549,24.31725909,47.17531067,84.508,,,,,,5.0,38.0,52.0,30.94,72.0,64.0,27.0,14.0,22.4,2.4,,,,,,85.0,,,,,,,
Serbia,SRB,0.5118790186487143,0.6717937701396348,,,,,,98.30033,96.24177,99.1817,58.05497,8643.29239749049,,99.48252869,99.99944305,98.06678772,94.55098,92.06535,69.18002319,63082047650.0,9230.178316,19093.9553065153,131731603498.018,78.88321518,36.20582512,20.51096187,56.651,,,,,-0.573692108156188,0.057,25.0,43.0,34.33,86.0,92.0,52.0,28.0,61.8,,56.0,51.7,47.6,48.4,51.1,27.0,,,,,,,33.59
Singapore,SGP,0.6645684085001524,0.6567349469151385,,,,,,98.67684,,,,66821.7161136585,,97.1318512,99.72624969,101.4013977,99.66959,99.78462,93.13477325,396987000000.0,72794.00302,99681.2941505156,566768600050.061,7918.951253,100.0,100.0,100.0,,,,,0.0984148575680955,0.0,20.0,48.0,56.61,74.0,8.0,72.0,46.0,55.2,2.24,,,,,,31.0,5.07,5.51,3.49,5.79,4.9,5.72,
Slovakia,SVK,0.5460496507723388,0.6246094986807388,6.8340263,27.911043,65.254929,201893.756,36704.186829,,,,,,,,,98.34087372,83.09318,84.75751,47.62358856,116527000000.0,21391.92533,31356.458282425,171169481096.475,113.5363353,14.91007972,,53.82,,,,1.6903926700055902e-15,-0.585289896425781,0.029,52.0,110.0,39.7,100.0,51.0,77.0,28.0,59.0,1.71,,,,,,53.0,,,,,,,28.94
Slovenia,SVN,0.6539891095162619,0.6625497382198953,8.69,40.3,51.01,106933.333,50713.217901,99.04773,97.73995,99.73447,82.92643,29134.8000315499,0.5534479513053011,,,103.8800888,98.26288,95.68577,79.9208374,61748586535.0,29291.40062,39725.259194249,83519139709.9138,104.4088814,,,55.427,,,,0.721067442255966,,0.0,27.0,19.0,42.91,71.0,88.0,49.0,48.0,55.1,,,,,,,69.0,3.59,5.42,3.79,5.25,3.66,6.41,31.74
South Africa,ZAF,0.7082437915077162,0.6923439699671515,52.348087,15.839705,31.812206,711486.517,12253.323477,76.98593,83.32679,94.91587,19.66282,7055.05517622779,,95.02297211,98.40953064,91.99948883,87.01258,71.92661,24.23629951,419015000000.0,7055.044776,13359.4843319287,792333514802.214,48.47284785,14.70788205,36.54460333,67.847,0.0284592448262628,1.0,0.578248162253122,-0.0144424810510952,,4.258,65.0,63.0,32.67,49.0,49.0,34.0,63.0,67.6,,51.05,47.9,44.3,51.3,50.5,87.0,4.39,5.43,3.91,5.36,4.39,5.57,
South Korea,KOR,0.6759042563414297,0.6316857142857143,9.6675959,51.707623,38.624783,2425556.12,46875.178673,,,,,,,98.80000305,100.0,99.72099304,97.25516,98.00711,102.4673615,1810960000000.0,34997.78164,,,531.1090061,23.66069605,50.4560954,81.414,,,,,0.100363359638865,0.656,18.0,39.0,56.11,60.0,85.0,100.0,29.0,20.1,2.09,,,,,,88.0,3.97,5.69,3.81,5.6,4.55,5.25,29.17
Spain,ESP,0.683683578155794,0.638253149790014,36.083153,40.703045,23.213802,2225886.52,46747.557086,96.33609,98.93822,126.8126,89.07212,30058.3872447137,,98.59445953,99.62142181,98.90447998,97.27171,96.87779,95.96486664,1427380000000.0,30103.51373,37756.3509997639,1788269872312.89,94.81538375,17.35178417,25.92675008,81.056,0.0879351265822785,1.0,1.0,1.6903926700055902e-15,,2.81,51.0,42.0,45.6,57.0,86.0,48.0,44.0,83.9,1.71,47.65,47.849999999999994,48.55,50.95,54.5,99.0,3.51,5.63,3.32,5.69,4.01,5.8,31.52
Sri Lanka,LKA,0.5602230792041442,0.7234754098360655,,,,,,98.20196,97.17662,99.68429,20.70601,3918.01916760614,0.1457381172211728,92.38230133,98.85923004,98.24330902,99.10711,91.03783,21.61236954,88927263725.0,4013.687657,13226.7300579257,289916696139.673,354.3323634,14.81351986,,18.86,,,,,,6.065,35.0,10.0,23.78,80.0,45.0,45.0,,,2.32,,,,,,40.0,,,,,,,
Sweden,SWE,0.5977780814349407,0.631847628267183,15.142161,46.648315,38.209526,683843.355,65209.039958,99.55624,99.47047,114.27631,62.35348,60729.7134250084,,,,104.6535873,99.18177,99.06336,84.51622009,635664000000.0,61028.73806,55064.8850101551,570111093189.311,25.42072337,18.02442098,15.90438805,88.238,,,,,,2.892,71.0,5.0,62.47,31.0,29.0,53.0,78.0,87.9,2.2,46.0,45.7,50.6,56.5,46.3,50.0,4.39,4.89,4.1,5.65,3.72,5.8,
Switzerland,CHE,0.6615082523516688,0.6457424412094065,12.57438,45.002983,42.422638,723517.334,82389.515916,68.68168,93.7743,106.09061,57.22953,93525.3661913239,,,,99.57124329,93.19583,85.32946,65.33409119,800640000000.0,91991.60046,71745.2993952823,619632654690.619,218.5990597,21.85612434,16.17265886,73.996,0.0623000274248103,1.0,1.0,1.5902331300387,,0.286,67.0,65.0,66.08,34.0,58.0,74.0,66.0,,,55.300000000000004,47.46666666666667,47.800000000000004,50.333333333333336,53.36666666666667,76.0,4.5,4.79,3.77,5.58,4.59,5.9,29.16
Taiwan,TWN,0.6053039504479027,0.6568101265822784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445271151946508,0.607,17.0,45.0,,58.0,69.0,93.0,49.0,,,50.2,48.1,42.0,54.5,51.5,91.0,3.96,5.2,4.11,5.26,4.56,5.74,28.77
Thailand,THA,0.6315345642317105,0.6419101297096974,,,,,,93.47052,92.35607,127.69083,52.50537,7066.67548675631,0.5974237615189485,94.09999847,98.80000305,94.78276825,,77.27069,43.82606506,505947000000.0,7066.190546,18197.9424146923,1270215980190.79,139.9042142,28.7095605,20.45621979,52.163,0.0353439502709244,0.841626096762659,0.308716340732184,-0.309637583427333,-0.148664737719789,5.783,20.0,34.0,36.68,64.0,64.0,32.0,45.0,,2.13,,,,,,12.0,3.43,6.2,4.81,5.01,3.93,5.74,
Trinidad and Tobago,TTO,0.6748155861438458,0.660883495145631,,,,,,89.38737,95.23794,97.53246,11.95117,16032.5027682099,,,,,,,,24460196271.0,16032.50277,26125.1532914982,36561916905.0721,295.9350877,66.97951378,,53.265,0.0370898194840313,1.0,1.0,0.164272154463124,,0.162,16.0,58.0,24.14,47.0,55.0,13.0,80.0,,1.8,,,,,,,,,,,,,
Turkey,TUR,0.6009783820369166,0.6329991589571068,55.102688,24.452457,20.444857,2581588.441,30679.506593,,,,,,,96.74221039,99.90715027,93.57749176,87.90006,87.22819,117.1131516,819035000000.0,9661.235975,,,109.3193197,23.74795605,37.57227863,76.569,0.0482868568958063,0.774238002594034,1.0,0.0034202544358462,-0.698953155360493,6.11,37.0,45.0,34.9,66.0,85.0,46.0,49.0,12.5,2.17,50.8,50.4,50.3,48.5,50.9,63.0,3.74,5.83,3.94,5.52,3.83,5.39,32.14
Ukraine,UKR,0.6274492541867874,0.626905602455871,,,,,,98.52954,96.17551,102.30148,82.30503,4596.34917496562,,100.0,99.90000153,,,,,200086000000.0,4835.571777,13087.3095703125,546334786278.487,76.16853469,9.822400267,12.41092639,69.757,0.123979532049529,0.942111636264208,0.189250419905472,1.6903926700055902e-15,-0.84383772706639,4.692,25.0,27.0,36.32,92.0,95.0,86.0,14.0,56.9,1.74,,,,,,10.0,,,,,,,
United Arab Emirates,ARE,0.7056866857179642,0.6916279349789284,,,,,,91.95901,90.73824,95.16721,22.03907,43295.3930816513,,98.12635803,99.66266632,104.7111969,95.02753,92.79992,53.71601868,415022000000.0,44315.55418,66766.0539321336,660342979810.375,130.7700507,35.73252273,65.88198047,87.299,,,,,,0.0,38.0,53.0,41.79,74.0,66.0,22.0,22.0,,,,,,,,15.0,,,,,,,
United Kingdom,GBR,0.6662068942555661,0.6473964021042122,18.294903,50.145672,31.559423,3740423.339,55175.810051,,,,,,,,,99.43340302,99.49182,97.13247,69.4837265,3131380000000.0,46510.28278,46526.9118652819,3121071774834.98,277.2744182,16.63639014,27.30680068,84.152,1.0,1.0,1.0,1.6903926700055902e-15,0.154669454235676,5.161,89.0,66.0,59.78,35.0,35.0,51.0,69.0,89.3,1.77,56.8,57.6,56.1,54.0,39.4,17.0,4.28,5.06,3.72,5.43,4.08,5.9,30.55
United States,USA,0.6853822018234603,0.6696550903691043,8.2938099,50.316986,41.389202,23315081.0,70181.12175,,,,,69184.7044001711,,,,100.9236679,94.62633,92.45022,87.56765747,23315100000000.0,70248.629,63027.6795267153,20893743833000.0,36.23984468,6.843319129,46.75182866,82.873,0.22761390256729,1.0,1.0,1.55331980693375,0.908109549093643,5.26,98.0,62.0,60.56,40.0,46.0,26.0,68.0,58.0,1.82,51.65,50.0,49.6,50.15,48.9,,4.15,5.31,4.17,5.53,4.49,6.14,32.21
Uruguay,URY,0.4856176076784441,0.6164617563739376,,,,,,94.74364,99.20272,110.02917,63.13378,17312.6417779094,0.9549774918501448,98.7703476,99.02065277,102.6509476,99.3775,88.21273,67.88320923,59319484711.0,17313.18835,22728.2153251936,78951615236.9388,19.592538,53.72762972,51.36522039,95.603,0.0423607635661686,0.820619146350182,1.0,0.807400646837813,0.782476119173137,0.086,36.0,38.0,30.84,61.0,98.0,26.0,53.0,,,,,,,,59.0,,,,,,,
Venezuela,VEN,0.6707088259302072,0.6497150997150998,,,,,,,,,,,,97.5,98.69999695,92.58873749,87.39174,73.24477,,,,,,32.30026983,11.82717694,34.11576019,88.325,0.0012300466858628,0.81085236644209,0.883844455005451,-1.02939435275497,0.0935783684284072,3.658,12.0,73.0,,81.0,76.0,16.0,100.0,39.2,,,,,,,36.0,3.35,5.79,4.25,5.31,3.32,6.35,
Vietnam,VNM,0.6600826290918602,0.6394026845637584,,,,,,,,,,,,95.7538681,98.62545776,110.0212097,,,35.39999008,366138000000.0,3756.489121,10904.4521455449,1061423920238.65,308.3591021,23.82823759,18.37896301,38.052,0.0378092057196535,0.823400480116898,0.254827262289949,1.6903926700055902e-15,1.02552780512854,0.42,20.0,40.0,37.12,70.0,30.0,57.0,35.0,35.9,2.19,,,,,,47.0,,,,,,,
