Country Name,Country Code,national_courage,national_courage_unweighted,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio,ipums_edu_tertiary_attain,ipums_edu_adult_literacy,ipums_urbanisation,ipums_idv,wvs_idv,global_terrorism_index,hofstede_idv,hofstede_mas,global_innovation_index,hofstede_pwd,hofstede_una,hofstede_lto,hofstede_idg,uz_tightloose,eriksson_tightloose,allik_big_five_openness,allik_big_five_conscientiousness,allik_big_five_extraversion,allik_big_five_agreeableness,allik_big_five_neuroticism,global_giving_index_rank,GLOBE_future_orientation_societal_practices,GLOBE_future_orientation_societal_values,GLOBE_humane_orientation_societal_practices,GLOBE_humane_orientation_societal_values,GLOBE_performance_orientation_societal_practices,GLOBE_performance_orientation_societal_values,rosenberg_self_esteem
Canada,CAN,0.6697671947100114,0.649219219936029,6.9325643,61.985279,31.082157,2221280.61,57058.469082,98.59447,99.45674,99.88171,58.88359,52112.0614958113,,,,,99.8825,99.80968,79.516922,1988340000000.0,51987.93905,46572.1374328364,1771473892248.83,4.242576785,20.02802515,45.98645959,81.653,0.213907574732317,1.0,0.808303148509334,1.16367688232796,0.591414412716574,3.171,80.0,52.0,52.26,39.0,48.0,36.0,68.0,84.6,1.83,51.6,49.2,51.7,51.9,50.5,8.0,4.44,5.35,4.49,5.64,4.49,6.15,30.22
Chile,CHL,0.568368429660618,0.6671272141706924,28.026119,31.439775,40.534103,552981.397,28100.985702,99.53105,93.03748,103.92402,86.6307,16265.0964340701,0.880899661613821,97.04000092,99.09999847,101.4751129,94.74067,88.65187,91.66934967,317059000000.0,16265.09598,25089.0312965357,479607165872.117,25.95761178,39.7912378,34.9434705,87.817,0.0333386658134698,0.810814269716845,0.866773316269397,0.527804615934027,-0.0280882395755981,4.031,23.0,28.0,33.86,63.0,86.0,31.0,68.0,86.8,1.68,,,,,,71.0,,,,,,,33.12
China,CHN,0.6675768704476341,0.6602928348909658,63.374126,18.535316,18.090559,30090699.886,,81.10148,90.18812,100.38884,39.39039,,0.6472108169333145,97.15000153,99.80999756,,,,63.60195923,17734100000000.0,12556.33312,17189.281794248,24255795539863.4,149.7235526,3.148247331,29.76998435,62.512,0.0100932864352347,0.852270989447928,0.233093745220982,1.6903926700055902e-15,0.451240656821561,3.587,20.0,66.0,53.28,80.0,30.0,87.0,24.0,35.3,2.05,48.3,50.3,44.5,47.8,53.1,49.0,3.75,4.73,4.36,5.32,4.45,5.67,
Colombia,COL,0.668629136232484,0.6721186027619822,39.789829,25.207756,35.002415,869840.596,17417.234054,83.49704,89.83309,106.8973,51.291,6104.13670930389,0.763206577148994,95.63632965,99.01181793,103.7517471,92.91999,77.47078,54.23928833,314464000000.0,6104.136709,14868.4698189141,756550625053.309,45.90415683,26.51980053,44.12065192,81.74,0.0373262739907346,0.755155526141628,0.580463269358041,-0.458407200913375,0.454169421731348,6.1,13.0,64.0,30.84,67.0,80.0,13.0,83.0,,1.48,,,,,,51.0,3.27,5.68,3.72,5.61,3.94,6.42,
Costa Rica,CRI,0.6352884604689131,0.6774151291512915,57.373444,24.640232,17.986324,127686.494,,90.3673,96.13191,133.30969,53.03828,12472.443327393,0.724941235574222,98.04000092,99.52999878,104.6601639,97.33255,82.44799,57.67481995,64282438667.0,12472.44373,22243.8019575334,113312462965.098,100.334998,33.84954376,27.56198781,81.425,0.12604063573383,0.866769517377889,0.72506840542586,-0.060564568505126,,1.066,15.0,21.0,33.51,35.0,86.0,,,,,,,,,,43.0,3.6,5.2,4.39,4.99,4.12,5.9,
Croatia,HRV,0.627332544991233,0.661180811808118,,,,,,99.43954,88.69765,102.42473,69.54415,16983.4473172554,,99.44999695,99.76000214,95.74845123,88.0407,92.39267,68.09648132,68955083280.0,17685.32528,28780.316739861,116493512461.601,72.33166548,30.3334614,,57.878,,,,,,0.0,33.0,40.0,37.27,73.0,80.0,58.0,33.0,55.0,,,,,,,82.0,,,,,,,31.94
Czechia,CZE,0.5759821195764543,0.6205116976604679,5.5797949,26.537458,67.882744,534055.096,49956.512049,,,,,26808.5398580416,,,,100.5519028,89.3503,90.51857,68.06181335,281778000000.0,26821.24523,,,138.5759288,16.830068,12.49026725,74.214,,,,,-0.466309858719747,0.315,59.0,57.0,48.34,57.0,74.0,70.0,29.0,59.6,1.63,52.3,47.5,47.4,50.7,54.2,,3.63,2.95,4.17,3.39,4.11,2.35,
Denmark,DNK,0.6660025540781449,0.6434520263249047,17.887573,41.881645,40.230782,441729.033,74793.266721,99.48016,98.06953,116.60542,81.51647,68036.7174499952,,,,98.53518677,98.53748,90.92146,82.8392868,398303000000.0,68007.75667,60229.9147703017,351224965911.196,145.7851,26.28895114,23.19736959,88.24,,,,,,1.484,74.0,16.0,57.53,18.0,23.0,35.0,70.0,65.5,,46.5,47.5,52.8,52.0,46.5,24.0,4.44,4.33,4.44,5.45,4.22,5.61,
Ecuador,ECU,0.6240168970554109,0.67825,,,,,,88.90804,94.66526,116.1984,40.48086,5965.13287054416,0.5740599509325004,94.48358917,99.00505066,100.6137466,90.94167,84.67039,52.58781052,106166000000.0,5965.132871,10890.4566364911,192140979865.012,70.81895233,26.56476297,27.77607063,64.361,0.0529457014774928,0.8285630918592,0.628663890288867,-0.400852563046439,0.406856173918815,2.606,8.0,63.0,24.11,78.0,67.0,,,,1.82,,,,,,52.0,3.74,5.94,4.65,5.26,4.2,6.32,
Egypt,EGY,0.6675277290730739,0.7008273137697517,,,,,,,,,,,,73.08999634,91.51000214,104.6092987,97.03257,82.77635,38.90494919,404143000000.0,3698.834981,,,107.9563353,45.53034354,24.44015989,42.862,0.0748703800599344,0.555510631213433,0.431717642581934,-1.02355148486934,-1.06327653661526,6.419,37.0,55.0,24.23,80.0,55.0,42.0,0.0,3.9,,,,,,,116.0,3.86,5.8,4.73,5.17,4.27,5.9,
Estonia,EST,0.5710788337230548,0.6261043046357615,10.475689,41.226608,48.297703,63555.067,47721.323033,96.58193,97.25776,109.96161,72.92471,27990.6210290954,,99.87000275,99.98999786,97.8786087,93.68129,94.36474,74.231987,37191166152.0,27943.70122,37645.2213607112,50048531249.417,31.09992982,48.57522628,,69.415,,,,,,0.057,60.0,30.0,48.28,40.0,60.0,82.0,16.0,55.4,1.62,52.6,49.6,49.9,50.8,49.7,64.0,,,,,,,32.63
Finland,FIN,0.6764189344059028,0.6112163311596258,11.083303,42.33107,46.585629,332318.393,59808.219831,99.62933,99.43316,101.37216,88.67155,53703.4525200273,,,,99.03176117,98.62944,96.1047,95.04788971,297302000000.0,53654.7503,50937.1607539726,281659220687.004,18.19287688,27.76276232,23.76381448,85.596,0.143884892086331,1.0,1.0,1.6903926700055902e-15,,1.721,63.0,26.0,57.02,33.0,59.0,38.0,57.0,74.5,1.75,50.1,50.0,48.8,49.7,47.7,74.0,4.24,5.07,3.96,5.81,3.81,6.11,31.76
France,FRA,0.6646451914087406,0.6317322324966974,17.760235,40.703068,41.536697,3814783.882,55698.406803,97.95848,98.84784,107.65316,64.39047,44229.3937152728,,,,,98.92727,94.66595,69.34638214,2957880000000.0,43658.97898,46991.1820282957,3166261521877.82,123.4046994,20.1277495,22.86946001,81.242,0.213642213642214,1.0,0.82248575105718,1.56401882142053,,4.614,71.0,43.0,53.66,68.0,86.0,63.0,48.0,99.6,,54.1,47.4,47.3,52.1,55.4,100.0,3.48,4.96,3.4,5.67,4.11,5.65,29.86
Germany,DEU,0.6452604171227466,0.6212874149659864,14.672102,31.143503,54.184395,5371318.279,64101.466443,96.48175,98.63278,101.25985,65.4738,51073.1178941387,,,,98.56955719,90.14286,85.29882,72.98919678,4259930000000.0,51203.55447,54844.5459733622,4560920212744.35,238.0173188,5.528745605,9.661285956,77.544,0.0392081736909323,1.0,1.0,1.6903926700055902e-15,1.08420633676734,3.965,67.0,66.0,56.55,35.0,65.0,83.0,40.0,82.9,2.03,56.7,46.7,47.3,49.1,52.8,55.0,4.11,5.04,3.29,5.45,4.17,6.05,31.73
Greece,GRC,0.6737085721324543,0.6639852607709751,21.812767,34.556225,43.631008,393631.536,37212.227345,90.68469,97.17147,103.61142,110.16268,20571.2179357684,,97.93595123,99.16000366,100.6033173,98.22037,93.34588,150.8760681,214874000000.0,20192.5963,27948.6497284227,299066091543.372,82.99921645,37.02298457,29.63245477,80.038,0.114703139571029,0.852541187441716,1.0,1.6903926700055902e-15,-0.799231078900441,4.182,35.0,57.0,36.79,60.0,100.0,45.0,50.0,58.3,1.71,45.1,51.5,46.6,48.8,50.9,102.0,3.4,5.19,3.34,5.23,3.2,5.81,31.29
Hong Kong,HKG,0.6443617142531719,0.6461311720698254,,,,,,,,,,,,,,100.7453003,95.45476,96.14117,88.44268799,369176000000.0,49800.54241,58980.0110511236,441229462673.456,7124.761905,100.0,100.0,100.0,,,,,0.0269160919901455,,25.0,57.0,54.24,68.0,29.0,61.0,17.0,,,49.2,49.2,37.6,54.6,53.3,81.0,4.03,5.5,3.9,5.32,4.8,5.64,27.54
Hungary,HUN,0.5740490559403304,0.6280558659217877,13.719394,29.29541,56.985195,413146.473,42665.113312,98.26017,90.76962,100.85752,53.19281,18728.3244176432,,99.09999847,98.69999695,94.42460632,90.83399,89.27911,55.15554047,181848000000.0,18728.12189,33274.3476562091,324429847525.84,106.8392395,25.25855282,18.24804213,72.245,0.149220206814714,1.0,1.0,1.6903926700055902e-15,,0.551,80.0,88.0,41.53,46.0,82.0,58.0,31.0,42.8,1.46,53.7,50.0,47.1,47.9,53.8,62.0,3.21,5.7,3.35,5.48,3.43,5.96,
Iceland,ISL,0.6689567632923734,0.6586515463917526,21.429537,43.06255,35.507912,25335.76,66637.981044,97.91737,98.60999,97.30824,82.22758,69133.1340822158,,,,99.37201691,99.83367,91.2734,84.27375031,25602419210.0,68727.63666,53616.6847084842,19648531128.3253,3.634463949,,,93.944,,,,,,0.0,60.0,10.0,49.23,30.0,50.0,28.0,67.0,51.2,1.94,46.5,48.9,47.6,55.5,50.2,23.0,,,,,,,
India,IND,0.7172559362878351,0.7147335126611631,77.645477,12.94724,9.4072857,9657283.711,7201.553849,61.37311,92.25846,85.20203,23.89011,2274.47654160975,0.3453366911137069,74.37299347,91.66403961,97.3657074,,,31.30364037,3176300000000.0,2256.590409,6525.42805209485,9005119325892.9,469.6595667,6.259070044,16.00542642,35.393,,,,,,7.353,48.0,56.0,35.59,77.0,40.0,51.0,26.0,43.7,2.48,47.76666666666667,52.46666666666667,43.5,53.06666666666666,51.56666666666666,57.0,4.19,5.6,4.57,5.28,4.25,6.05,30.44
Indonesia,IDN,0.6480116836511158,0.653123287671233,57.04705,13.170677,29.782272,3969883.308,,81.94135,89.71853,90.67667,31.1021,4332.70928089405,0.675839204347256,95.99900818,99.7795105,102.3348389,93.4963,78.73112,36.31103897,1186090000000.0,4332.709281,12072.4399629246,3302097492964.25,144.7963882,6.959855306,13.89114438,57.29,0.0301845480137629,0.821786049421332,0.492258367219268,-0.564483034778404,0.61212106252389,4.629,14.0,43.0,26.49,78.0,48.0,62.0,38.0,3.1,2.32,49.9,50.3,43.3,51.9,48.6,1.0,3.86,5.7,4.69,5.16,4.41,5.73,29.88
Iran,IRN,0.6581002979748882,0.6755215946843853,,,,,,,,,,,,88.73999786,98.72000122,101.0606766,99.70291,81.37533,58.2224884,359713000000.0,4091.209187,,,53.79981079,13.79365235,25.2004858,76.345,0.0914514641457228,0.762479824763661,0.715615632925986,-0.171049068149989,-0.013350568662175,4.157,41.0,43.0,30.89,58.0,59.0,14.0,40.0,31.5,2.25,,,,,,48.0,3.7,5.84,4.23,5.61,4.58,6.08,
Ireland,IRL,0.6754384493739813,0.6572893492456654,12.765348,53.708744,33.525906,656439.507,128343.445998,,94.9173,114.76326,73.16848,101108.989159094,,,,98.9764328,95.78041,98.6613,74.68031311,504183000000.0,100172.0793,93350.0875336544,465413104314.265,72.36728117,38.60838549,24.67538815,63.912,0.205309410472354,1.0,0.620468692786525,1.4014883718732,,2.845,70.0,68.0,53.05,28.0,35.0,24.0,65.0,71.2,1.8,,,,,,11.0,3.98,5.22,4.96,5.47,4.36,5.98,
Israel,ISR,0.6640029048867222,0.65404638671875,12.055555,49.688583,38.255859,412651.502,44052.106772,99.23824,96.72031,103.31296,66.18104,54111.0210446624,0.9160515270723096,,,107.2998886,97.01884,98.63822,61.07302856,488527000000.0,52170.71186,39489.2807769984,363897671288.118,425.836414,49.13284673,57.86790901,92.674,0.15834756117974,1.0,1.0,1.6903926700055902e-15,,4.522,54.0,47.0,53.55,13.0,81.0,38.0,,,1.66,,,,,,78.0,3.85,5.25,4.1,5.62,4.08,5.75,33.03
Italy,ITA,0.6502985583024459,0.62564662027833,37.293571,19.983055,42.72337,3092145.9,52461.180226,98.94044,97.64187,108.8268,63.45507,35578.8510673149,,99.34909821,99.8742218,97.55294037,95.65574,94.66346,69.46527863,2107700000000.0,35657.49756,41987.8159630472,2496155798766.2,200.9991005,10.14490905,19.28778047,71.346,0.092958694372003,1.0,1.0,1.24444090551664,,3.043,76.0,70.0,45.74,50.0,75.0,61.0,30.0,67.8,1.87,50.56666666666666,50.199999999999996,46.9,49.166666666666664,54.76666666666667,109.0,3.25,5.91,3.63,5.58,3.58,6.07,30.56
Japan,JPN,0.5105005031144358,0.6273891170431212,,55.555557,,5383426.681,42895.146536,99.83826,99.95,101.35803,62.41163,39649.9275053265,,,,,,,64.61711884,4940880000000.0,39312.66037,42100.257690921,5315620636313.38,346.3950617,32.340061,64.88238178,91.867,,,,,-0.209720125574885,2.014,46.0,95.0,52.7,54.0,92.0,88.0,42.0,43.3,2.09,51.7,42.6,41.7,47.7,55.3,118.0,4.29,5.25,4.3,5.41,4.22,5.17,25.5
