"","CountryNames","CourageAvgUnsampled","CourageVarUnsampled","CourageAvgSampled01","CourageVarSampled01","CourageAvgSampled02","CourageVarSampled02","CourageAvgSampled03","CourageVarSampled03","CourageAvgSampled04","CourageVarSampled04","CourageAvgSampled05","CourageVarSampled05","CourageAvgSampled06","CourageVarSampled06","CourageAvgSampled07","CourageVarSampled07","CourageAvgSampled08","CourageVarSampled08","CourageAvgSampled09","CourageVarSampled09","CourageAvgSampled10","CourageVarSampled10","GTI2018","GTI2019","GTI2020","Hofstede2010_IDV","Hofstede2010_MAS","GII2017","GII2018","GII2019","GII2020","GII2021","BCGIII2009","BloombergInnovation2015","CreativityIndex2015","OECD_Edu_Primary","OECD_Edu_Primary_SE","OECD_Edu_Secondary","OECD_Edu_Secondary_SE","OECD_Edu_Tertiary","OECD_Edu_Tertiary_SE","OECD_GDP_2017","OECD_GDP_2018","OECD_GDP_2019","OECD_GDP_2020","OECD_GDP_2021","OECD_Unemployment_2017","OECD_Unemployment_2018","OECD_Unemployment_2019","OECD_Unemployment_2020","OECD_Unemployment_2021","UN_Edu_Primary_ComplRate_2017","UN_Edu_Primary_ComplRate_2018","UN_Edu_Primary_ComplRate_2019","UN_Edu_Primary_EnrolRate_2017","UN_Edu_Primary_EnrolRate_2018","UN_Edu_Primary_EnrolRate_2019","UN_Edu_Secondary_EnrolRate_2017","UN_Edu_Secondary_EnrolRate_2018","UN_Edu_Secondary_EnrolRate_2019","UN_Edu_Tertiary_EnrolRate_2017","UN_Edu_Tertiary_EnrolRate_2018","UN_Edu_Tertiary_EnrolRate_2019","UN_GDP_2017","UN_GDP_2018","UN_GDP_2019","UN_GDP_Growth_2017","UN_GDP_Growth_2018","UN_GDP_Growth_2019","UN_GDP_percap_2017","UN_GDP_percap_2018","UN_GDP_percap_2019","UN_GDP_percap_growth_2017","UN_GDP_percap_growth_2018","UN_GDP_percap_growth_2019","UN_GDP_PPP_percap_2017","UN_GDP_PPP_percap_2018","UN_GDP_PPP_percap_2019","UN_GNI_Atl_2017","UN_GNI_Atl_2018","UN_GNI_Atl_2019","UN_GNI_Atl_percap_2017","UN_GNI_Atl_percap_2018","UN_GNI_Atl_percap_2019","UN_GNI_PPP_2017","UN_GNI_PPP_2018","UN_GNI_PPP_2019","UN_GNI_PPP_percap_2017","UN_GNI_PPP_percap_2018","UN_GNI_PPP_percap_2019","UN_Metro_Population_2017","UN_Metro_Population_2018","UN_Metro_Population_2019","UN_NetIncome_2017","UN_NetIncome_2018","UN_NetIncome_2019","UN_Patent_NonResident_2017","UN_Patent_NonResident_2018","UN_Patent_NonResident_2019","UN_Patent_Resident_2017","UN_Patent_Resident_2018","UN_Patent_Resident_2019","UN_Researcher_Density_2017","UN_Researcher_Density_2018","UN_RnD_2017","UN_RnD_2018","UN_RnD_2019","UN_TradeMark_NonResident_2017","UN_TradeMark_NonResident_2018","UN_TradeMark_NonResident_2019","UN_TradeMark_Resident_2017","UN_TradeMark_Resident_2018","UN_TradeMark_Resident_2019","UN_Unemployment_2017","UN_Unemployment_2018","UN_Unemployment_2019","UN_Urbanisation_2017","UN_Urbanisation_2018","UN_Urbanisation_2019","WB_Educ_Spending","WB_GDP_curent","WB_GDP_growth","WB_GDP_percap","WB_Gross_Primary_Enrollment","WB_Gross_Secndry_Enrollment","WB_Gross_UpprSec_Enrollment","WB_Immigrants","WB_Internet_Users","WB_Labour_Participation","WB_Patent_Rate","WB_RnD_Spending","WB_Service_Industry_Contribution","WB_UrbanPop_growth","WB_UrbanPop_percnt"
"11","Canada",0.649402184,0.031849948,0.665553333,0.033001051,0.64991,0.027939065,0.64916,0.028711974,0.64166,0.03177662,0.646086667,0.033649698,0.66019,0.032075378,0.653076667,0.031384533,0.647226667,0.027657199,0.65519,0.031845546,0.6488,0.033799017,3.527,3.591,3.171,80,52,53.65,52.98,53.88,52.26,53.1,1.42,78.78,0.92,10,0.3,36,0.4,54,0.4,1622511346012.3,1661931031262.27,1692866470489.92,1602925410219.13,1680114063824.04,6.3858218568,5.907390181,5.737765983,9.549287272,7.5963550829,NA,NA,NA,100.9436798,101.501091,100.9897537,113.7628632,114.1235123,114.3332672,68.92250824,70.11302185,75.69882202,1.64927e+12,1.72185e+12,1.74158e+12,3.039880225,2.429547545,1.861415379,45129.35644,46454.74339,46326.67264,1.811114549,0.992851882,0.430211134,48317.09658,50239.99105,50660.57779,1.56776e+12,1.66622e+12,1.74646e+12,42900,44950,46460,1.74331e+12,1.83071e+12,1.88009e+12,47700,49390,50010,45.94116425,45.92469244,45.7826409,6.659000665,6.124687413,6.462810362,30969,31812,32250,4053,4349,4238,4325.64492,NA,1.66886,1.56287,1.54266,33060,35738,39669,25853,27320,28608,6.34,5.83,5.66,81.35,81.411,81.482,5.3,1741497,1.9,46550,101.5,114.1,117.8,21.3,92.7,64.9,40,0.1,72.5,1.1,81.4
"12","Chile",0.667527287,0.030941146,0.67397,0.029538705,0.674903333,0.030131379,0.66063,0.032612615,0.666173333,0.032065629,0.669073333,0.031566362,0.654343333,0.030331022,0.671463333,0.033185199,0.662683333,0.028870364,0.661926667,0.027111379,0.65821,0.032342588,3.454,4.123,4.031,23,28,38.7,37.79,36.64,33.86,35.1,0.21,NA,0.611,31,2.3,40,1.5,29,2.9,251862838116.772,261346583084.76,263640897059.966,247851675762.5,277488644813.453,6.9650394238,7.3828227327,7.2314347864,10.6629951119,8.8915328056,94.75356293,96.24210358,98.24701691,101.4301605,102.1792221,102.3705368,101.8314209,102.3675537,103.6651611,88.4644165,90.8963089,93.10112762,2.77035e+11,2.97572e+11,2.79385e+11,1.184544707,3.713859177,0.942005307,14998.81706,15888.14436,14741.7144,-0.247251359,2.281121035,-0.245035757,24470.70362,24740.49615,25974.73164,2.45103e+11,2.72514e+11,2.84025e+11,13270,14550,14990,4.33291e+11,4.42399e+11,4.74479e+11,23460,23620,25040,35.88194864,35.66827802,35.47648577,5.172804234,3.549489332,5.455278075,2469,2694,2799,425,406,438,493.29542,NA,0.35608,NA,NA,11584,8677,8685,28403,25850,25898,6.96,7.23,7.29,87.49,87.564,87.643,5.4,282318,1.1,14896,102.15,102.35,102.65,8.6,82.3,62.8,5.25,0.4,64.1,1,87.6
"13","China",0.660768875,0.031752989,0.65586,0.030243586,0.654536667,0.031472851,0.65731,0.034776295,0.661866667,0.034304664,0.662416667,0.029882639,0.655546667,0.032270229,0.674193333,0.030175889,0.65214,0.035835311,0.649993333,0.033570381,0.666406667,0.026951767,5.108,4.465,3.587,20,66,52.54,53.06,54.82,53.28,54.8,1.87,65.67,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.40480804,100.2227478,101.9257202,NA,NA,NA,49.07326126,50.60443878,53.76491165,1.23104e+13,1.38948e+13,1.42799e+13,6.947200793,6.749773832,5.949714233,8816.986905,9905.342004,10143.83817,6.301863101,6.251700556,5.574533127,14243.53261,15497.35999,16653.33884,1.21049e+13,1.33854e+13,1.45127e+13,8670,9540,10310,1.9861e+13,2.16436e+13,2.3378e+13,14220,15430,16610,27.07959834,27.68816041,28.34150475,26.13571497,25.38940509,24.53012614,135885,148187,157093,1245709,1393815,1243568,1224.7822,1307.12128,2.11603,2.14058,NA,NA,NA,NA,NA,NA,NA,4.4,4.3,4.6,57.96,59.152,60.308,NA,14342934,6.1,10004,102,NA,79.5,0.1,54.3,67.5,1,0.8,53.4,2.9,59.2
"14","Colombia",0.672037934,0.030922676,0.674796667,0.029810865,0.66185,0.031402028,0.66499,0.030877147,0.69155,0.027442931,0.661166667,0.033012447,0.664363333,0.030991597,0.669513333,0.030769087,0.67738,0.033637427,0.68591,0.028085734,0.66398,0.034411866,5.611,5.912,6.1,13,64,34.78,33.78,33,30.84,31.7,-0.66,NA,0.41,NA,NA,NA,NA,NA,NA,306129894329.155,313980057546.277,324282109977.289,302244682199.163,331071748359.322,9.3697433168,9.6767472116,10.5008999642,15.9181138282,13.7706556102,105.9868011,106.7693863,106.7657318,114.9832687,114.5266571,114.0009918,95.73023224,97.50623322,100.8063126,56.43402863,55.32749176,54.97652054,3.11884e+11,3.34198e+11,3.2343e+11,1.359360868,2.564324283,3.281116805,6376.706716,6729.583332,6424.979492,-0.163409332,1.012856042,1.889274487,14171.3205,14865.89324,15621.08737,2.90124e+11,3.10999e+11,3.30613e+11,5930,6260,6570,6.80445e+11,7.19255e+11,7.67972e+11,13910,14480,15260,43.51856039,43.88586501,43.93044635,4.144720808,3.356543623,2.92400128,1777,1808,1735,595,415,422,88.0191,NA,0.24286,0.23462,NA,9654,10120,10289,17432,18011,19955,8.87,9.11,9.96,80.446,80.778,81.104,4.5,323803,3.3,6432,114,100.9,82.3,3.7,65,68.9,111.25,2,63.5,1.4,80.8
"15","Costa Rica",0.677692308,0.034330144,0.67046,0.032720891,0.680166667,0.034583805,0.67332,0.034479008,0.672473333,0.034359039,0.668776667,0.035645391,0.685,0.033603485,0.68092,0.033213044,0.674333333,0.035203688,0.670903333,0.033661479,0.670816667,0.032773649,0,0,1.066,15,21,37.09,35.72,36.13,33.51,34.5,-0.39,NA,0.607,NA,NA,NA,NA,NA,NA,61257118741.3696,62859546407.5851,64277855833.7986,61665811686.388,64729459559.5897,9.0702184146,10.2808421822,11.759155133,19.462006019,16.7691519378,96.77837372,98.59436798,102.7380524,110.8334732,113.2942886,116.1822891,128.9296265,132.816925,141.3639832,56.52795029,55.31010056,57.67481995,60516043590,62420165100,64072870932,4.157698963,2.615904404,2.256315079,12225.57449,12485.4239,12693.82796,3.092566338,1.600140073,1.281513711,20347.03477,21022.76519,21833.96661,56908615254,59846134327,61002601494,11500,11970,12090,95452508500,99415291473,1.03564e+11,19280,19890,20520,27.01513448,27.15792539,27.31113106,16.02461078,16.16357604,15.38833247,504,490,483,19,8,16,380.40758,345.03858,0.44068,0.38288,NA,6503,4878,4681,7902,5117,7101,8.14,9.63,11.49,78.56,79.34,80.076,7,61774,2.1,12238,116.2,141.45,143.85,10.2,81.2,62,7.5,3.4,75.4,2.5,79.3
"16","Croatia",0.660628913,0.035741236,0.671466667,0.033195922,0.664436667,0.034354401,0.66731,0.032167218,0.664526667,0.036840725,0.672506667,0.034222786,0.65961,0.033089015,0.653863333,0.03359666,0.666,0.034740722,0.657773333,0.038758457,0.655286667,0.035555162,0.014,0,0,33,40,39.8,40.73,37.82,37.27,37.3,-0.03,45.27,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.54715729,94.84780884,94.53153992,96.47103119,94.60305023,93.22310638,99.40242004,100.0797729,100.1194305,67.86556244,67.65422821,67.72174835,56214427431,62247874949,62246206341,3.41409226,2.900009599,3.481945603,13629.28959,15227.5601,15311.7669,4.66317567,3.823527345,4.056979224,27154.08615,28960.38457,30989.58099,52978462631,58363728823,62285182814,12840,14280,15320,1.10376e+11,1.16678e+11,1.24113e+11,26760,28540,30530,NA,NA,NA,12.62049509,12.80003205,13.13347095,11,15,16,148,121,195,1868.34023,1921.13136,0.86266,0.97192,NA,1577,1701,1446,1251,1060,1493,11.21,8.43,6.62,56.667,56.947,57.242,3.9,60415,2.9,14627,94.65,100.15,90.55,12.9,79.1,51,45.75,1.3,72,-0.1,56.9
"17","Czechia",0.620683612,0.033809685,0.624713333,0.035486787,0.61732,0.033807008,0.616786667,0.036398971,0.613693333,0.035538046,0.61679,0.033204896,0.628413333,0.031574725,0.597436667,0.03481026,0.619813333,0.030627664,0.614426667,0.036653423,0.611016667,0.032737863,1.562,0.866,0.315,59,57,50.98,48.75,49.43,48.34,49,0.41,55.55,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,250681,2.3,23452,100.5,102.3,107.65,5.1,80.9,60.3,14,NA,63,0.2,73.8
"18","Denmark",0.643233677,0.031805908,0.63824,0.031960624,0.642226667,0.033647494,0.642096667,0.034395432,0.653243333,0.02758989,0.633983333,0.034486491,0.64536,0.030718606,0.644396667,0.033909859,0.64721,0.032379685,0.648693333,0.031559317,0.634776667,0.030260836,0.817,0.957,1.484,74,16,58.7,58.39,58.44,57.53,57.3,1.42,79.38,0.917,20,0.6,40,0.7,39,0.5,321478529991.164,328474013225.75,337837922398.502,328599492745.652,344029211705.12,5.8125140671,5.0983675178,5.0467546755,5.6431169404,4.9391076313,103.7763977,101.0366287,101.8970795,101.2680893,100.5239105,100.2676697,129.0774841,129.7455444,129.885025,80.6160202,81.18334961,81.83975983,3.32121e+11,3.56841e+11,3.47561e+11,2.821736341,1.989537315,2.114664208,57610.09818,61591.92887,59775.7351,2.162355113,1.485085157,1.749614095,55356.68078,57456.61183,59896.5675,3.26789e+11,3.54925e+11,3.68963e+11,56690,61260,63460,3.26116e+11,3.42131e+11,3.58327e+11,56570,59050,61630,22.61888159,22.79787684,22.94102492,19.12084625,19.18152361,21.1462619,282,239,228,1490,1262,1351,7924.95265,8065.88729,3.05015,3.03292,NA,1746,1708,1786,2554,2392,2421,5.83,5.13,5.02,87.757,87.874,87.994,7.8,350104,2.8,60657,100.55,129.75,138.1,12.4,98,62.1,2,NA,74.3,0.6,87.9
"19","Ecuador",0.679491071,0.033452466,0.678903333,0.033310803,0.686026667,0.033197103,0.67611,0.034144205,0.681043333,0.03309548,0.682323333,0.031770688,0.676956667,0.034698336,0.681403333,0.034175532,0.67668,0.033337382,0.681686667,0.034453647,0.685563333,0.033565605,1.471,2.455,2.606,8,63,29.14,26.8,26.56,24.11,25.4,-1.11,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.4158478,104.4336777,101.4974976,103.5349426,103.267952,101.1975479,102.1983109,101.4356537,100.5680771,NA,47.59777069,47.94522858,1.04296e+11,1.07562e+11,1.08108e+11,2.368386526,1.289291933,0.012105103,6213.503127,6295.934662,6222.524653,0.573913174,-0.483429078,-1.653249634,11617.91222,11839.34324,11851.46541,98293807220,1.04e+11,1.05788e+11,5860,6090,6090,1.90453e+11,1.96708e+11,1.99859e+11,11350,11510,11500,27.62446623,27.63459255,27.5929587,9.208235537,6.40637708,5.628797288,401,371,408,16,34,29,NA,NA,NA,NA,NA,6289,6534,7080,8262,11435,12270,3.84,3.53,3.81,63.67,63.821,63.986,5,107436,0.1,6184,103.25,101.45,97.6,4.4,48.9,68.1,291.75,NA,55.7,1.8,63.8
"20","Egypt",0.700587177,0.037013123,0.703313333,0.039330671,0.724886667,0.037806937,0.70296,0.033051871,0.709346667,0.037031311,0.68341,0.042809948,0.692616667,0.039437709,0.702583333,0.038228779,0.703676667,0.037706581,0.714516667,0.032389762,0.708403333,0.037226041,7.345,6.794,6.419,NA,NA,26,27.16,27.47,24.23,25.1,-0.47,NA,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,317359,5.6,3161,106.45,89.45,77.55,0.5,57.3,46.5,NA,NA,51.9,2.1,42.7
"21","Estonia",0.626420792,0.030119282,0.6123,0.031780037,0.630086667,0.033568427,0.6214,0.030068542,0.634173333,0.026282699,0.624723333,0.030815779,0.623053333,0.030619609,0.609993333,0.030655893,0.626936667,0.031474053,0.629536667,0.034970979,0.627863333,0.031674988,0.229,0.115,0.057,60,30,50.93,50.51,49.97,48.28,49.9,0.94,NA,0.625,11,0.4,46,0.7,43,0.7,24868524278.2843,25892654943.4524,26929010246.9849,26212136701.6424,28738490086.7177,5.7630392788,5.3702978754,4.4477654426,6.8057625478,6.197232464,97.23143768,96.69463348,97.43179321,97.2301712,97.66768646,97.92819214,116.8747482,116.651741,115.6051178,69.04592133,70.36543274,74.231987,26857880622,30474612057,31045591753,5.792044675,4.133819798,4.096342644,20387.28315,23052.30126,23397.12001,5.664039082,3.772023311,3.710285764,33821.93291,36158.81965,38294.47736,24727833118,28164321629,30848499953,18770,21300,23250,43527298152,47087238431,50343824264,33040,35620,37940,NA,NA,NA,14.7392717,15.23417498,15.73319744,4,6,1,37,24,31,3542.54618,3755.32912,1.27996,1.40441,NA,1321,1328,1340,1060,1377,1176,5.76,5.37,4.45,68.717,68.88,69.051,5,31471,5,23740,97.65,116.65,131.2,15,89.5,63.3,NA,NA,71.8,-0.2,68.9
"22","Finland",0.61140452,0.033447997,0.591113333,0.031771278,0.618043333,0.035468938,0.629353333,0.031367152,0.621003333,0.038432425,0.613583333,0.040088217,0.609506667,0.03165003,0.623786667,0.029036349,0.616953333,0.03205965,0.61058,0.038581328,0.615176667,0.035276266,2.501,2.026,1.721,63,26,58.49,59.63,59.83,57.02,58.4,1.8,86.36,0.917,14,0.5,42,0.7,43,0.6,248809396457.96,251648412307.391,255026608189.187,247711066762.401,256454924919.324,8.7418912176,7.4112831246,6.7388503773,7.7714461728,7.7410474137,101.4983215,100.3738098,100.9760818,100.1546402,100.2051086,99.91573334,153.9635773,154.8202362,145.318985,88.1978302,90.2617569,92.95500946,2.55017e+11,2.7558e+11,2.68782e+11,3.19240963,1.141947509,1.343755373,46297.49635,49964.49991,48678.31413,2.950531373,1.00788071,1.23214448,47570.13358,49706.59709,51521.33482,2.46714e+11,2.65613e+11,2.75782e+11,44790,48160,49950,2.62157e+11,2.75259e+11,2.85919e+11,47590,49910,51780,22.87265891,23.19082952,23.40319103,9.687832094,10.04756657,10.37269668,139,100,75,1390,1387,1321,6721.83019,6861.10974,2.73349,2.75572,NA,1405,1352,1500,3050,2886,2850,8.64,7.36,6.7,85.325,85.382,85.446,6.4,269296,1.1,48678,100.2,155,205.85,7,89.6,58.9,NA,NA,69.4,0.8,85.4
"23","France",0.631997239,0.032091204,0.629563333,0.028401364,0.620553333,0.030717639,0.637043333,0.032962122,0.63798,0.034714936,0.621843333,0.034187939,0.641116667,0.033675996,0.618796667,0.029976156,0.64381,0.036377927,0.626946667,0.036117516,0.648973333,0.027934668,5.475,5.008,4.614,71,43,54.18,54.36,54.25,53.66,55,1.64,80.6,0.822,24,0.5,44,0.5,32,0.3,2524154087996.89,2570612701480.5,2617882559440.58,2408793552566.96,2572367517611.88,9.4806296779,9.0887452132,8.4937325629,8.1028270109,7.8095984345,NA,NA,NA,102.4172211,102.4644089,102.5394821,103.7560806,103.7733307,104.2929916,65.80223083,67.54351807,68.35790253,2.58874e+12,2.78959e+12,2.72887e+12,2.291419994,1.865066071,1.842971814,38685.25849,41572.48501,40578.64429,1.994998447,1.585878806,1.620358453,44577.06457,46620.68448,49619.90971,2.56111e+12,2.76142e+12,2.85879e+12,38270,41150,42510,3.05043e+12,3.20086e+12,3.40848e+12,45580,47700,50680,22.66275511,22.71818858,22.7881959,9.03791977,9.152918692,9.1618049,1832,1919,1766,14415,14303,14103,4561.11283,4715.31913,2.20348,2.19294,NA,7859,7718,7413,86315,90581,95100,9.41,9.02,8.44,80.18,80.444,80.709,5.5,2715518,1.5,40319,102.85,104.15,107.8,13.1,83.3,54.9,NA,NA,78.9,0.8,80.4
"24","Germany",0.621186362,0.031396936,0.620373333,0.033171365,0.639633333,0.034017363,0.620473333,0.0270671,0.6338,0.025528221,0.625636667,0.028308239,0.612386667,0.030569409,0.62639,0.030028714,0.627396667,0.030577203,0.619796667,0.035372544,0.604996667,0.03412092,4.601,4.254,3.965,67,66,58.39,58.03,58.19,56.55,57.3,1.12,86.41,0.837,9,0.5,55,0.9,36,0.8,3528105731521.43,3567049872226.31,3605825385156.94,3428143852584.2,3526375692967.64,3.7541804404,3.4037468198,3.1575925749,3.8733069869,3.5595119292,98.80513763,100.8433228,99.01779938,104.0223618,103.8945618,102.5161819,98.40927887,97.59349823,97.54060364,70.2466507,70.34264374,73.52105713,3.68173e+12,3.97535e+12,3.88833e+12,2.680231114,1.086024514,1.055508247,44542.2952,47950.18081,46794.89929,2.297206047,0.782690047,0.827864779,53071.45557,55142.31878,56284.98052,3.61288e+12,3.93043e+12,4.08321e+12,43710,47410,49140,4.49125e+12,4.71864e+12,4.82852e+12,54340,56920,58110,9.550086271,9.583031253,9.600163248,14.11673182,14.00438448,13.30715408,19927,21281,20802,47785,46617,46632,5076.51794,5211.87408,3.06792,3.13267,NA,9237,9566,10013,67470,65686,68291,3.75,3.38,3.14,77.261,77.312,77.376,4.9,3861124,0.6,46232,103.9,97.5,95.8,18.8,88.1,60.8,NA,NA,69.6,0.3,77.3
"25","Greece",0.663772753,0.033499324,0.66872,0.037905179,0.66304,0.031800319,0.67183,0.036142824,0.667413333,0.029084083,0.667486667,0.037960351,0.652493333,0.030542324,0.654526667,0.03497936,0.667513333,0.03218114,0.66842,0.028376271,0.67339,0.031415075,4.291,4.267,4.182,35,57,38.85,38.93,38.9,36.79,36.3,0.12,57.66,0.484,33,0.4,40,0.4,27,0.3,196846222859.929,200130423297.35,203739915123.275,185364390974.615,197701150895.952,21.4876378871,19.2919113229,17.3127338844,16.3045708294,14.6081958005,96.76635742,97.93238068,96.35045624,99.55348206,99.36643219,99.96620178,104.4962692,104.8778992,108.0768585,136.6025696,142.8520355,148.5308838,1.99351e+11,2.11946e+11,2.05144e+11,1.09214912,1.668428636,1.803595256,18536.19072,19747.34258,19133.75776,1.29229029,1.874903163,1.910891048,28604.86094,29652.93088,30841.70285,1.92927e+11,2.04543e+11,2.10693e+11,17940,19060,19650,3.06094e+11,3.14753e+11,3.27666e+11,28460,29330,30560,29.3588586,29.40123631,29.41871825,-5.209963267,-5.006922808,-3.347076618,91,149,238,498,430,356,3311.44856,3482.71652,1.13109,1.17732,NA,NA,NA,NA,NA,NA,NA,21.49,19.29,17.31,78.724,79.058,79.388,4,205327,1.9,19604,99.35,104.85,108.3,12.9,75.7,51.4,NA,NA,80.8,0.1,79.1
"26","Hong Kong",0.645593704,0.028941169,0.642653333,0.025853097,0.64998,0.030576046,0.6323,0.030435334,0.656466667,0.02961641,0.646763333,0.029956302,0.630596667,0.03187582,0.649726667,0.028342179,0.64469,0.025325459,0.633406667,0.028995781,0.65795,0.027908676,NA,NA,NA,25,57,53.88,54.62,55.54,54.24,53.7,NA,49.19,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Hungary",0.628419556,0.032849181,0.651746667,0.028338317,0.619883333,0.030531782,0.63573,0.036154278,0.637193333,0.02936429,0.646013333,0.034628415,0.634636667,0.029617563,0.644896667,0.030090073,0.63314,0.034036415,0.629066667,0.032576477,0.62936,0.028300445,0.363,0.181,0.551,80,88,41.74,44.94,44.51,41.53,42.7,0.51,51.12,0.673,NA,NA,NA,NA,NA,NA,133580871847.728,140786738417.861,147195486787.677,140081245716.721,149768999910.453,4.0339881821,3.5960122186,3.3147819387,4.1287580916,4.0468409376,105.0500336,98.84925079,95.60597229,100.8054733,96.76048279,95.49093628,103.4899597,103.9211578,80.32145691,48.50038147,50.30653,52.44464874,1.43136e+11,1.60587e+11,1.63526e+11,4.268557419,5.359496489,4.554063072,14623.69665,16427.37276,16735.65978,4.546135601,5.493163302,4.601390464,29501.12042,31862.88251,33961.56561,1.2907e+11,1.4648e+11,1.61455e+11,13190,14980,16520,2.77075e+11,2.99279e+11,3.23113e+11,28310,30620,33070,17.92972105,17.9989308,18.0522725,11.71626427,14.31967635,15.09644383,36,36,23,496,407,427,2921.5331,3237.70314,1.33193,1.53337,NA,1874,1959,1729,3770,3492,3555,4.16,3.71,3.42,71.062,71.351,71.644,4.7,163469,4.6,16879,96.75,103.9,106.55,6.1,80.4,56.4,NA,NA,66.3,0.2,71.4
"28","Iceland",0.657752033,0.033587201,0.665546667,0.029132871,0.660103333,0.033118775,0.65816,0.03388071,0.653796667,0.033028591,0.655,0.035130595,0.662596667,0.034696583,0.65622,0.030183677,0.655113333,0.035506228,0.6513,0.034711742,0.656673333,0.033336662,0.057,0.029,0,NA,NA,55.76,51.24,51.53,49.23,51.8,1.79,48.78,0.913,NA,NA,NA,NA,NA,NA,19414257040.8425,20364037584.9876,20859865857.2442,19503158486.9547,20483578325.1093,3.2759719567,3.1222570533,3.9295392954,6.4300729557,5.9207349035,101.8414917,99.20509338,100.9760437,100.3514404,100.4399109,100.9693527,117.5167084,117.9799423,115.4449615,71.84500885,73.1032486,77.58883667,24728285177,26267063758,24857740445,4.194948829,4.892180731,2.434823,72010.14903,74469.80406,68941.46223,1.779410135,2.120301494,0.206935275,55638.49206,58317.43934,60132.71193,20683023302,23901435354,26286157200,60230,67760,72900,18517234339,19519311238,21486682810,53920,55340,59590,NA,NA,NA,14.46604737,11.76150353,17.22179672,8,10,15,36,56,47,6130.51111,NA,2.10455,2.04135,NA,2922,3095,3083,723,853,638,2.74,2.7,3.51,93.773,93.813,93.855,7.7,24188,1.9,71345,100.45,117.95,131.1,19.2,99,74.8,NA,NA,73.4,0.6,93.8
"29","India",0.714814951,0.034091744,0.73053,0.030732517,0.70378,0.037972306,0.704693333,0.036192655,0.708396667,0.034639437,0.70546,0.032024269,0.717093333,0.037429878,0.70325,0.037411793,0.708493333,0.033923609,0.69973,0.031969736,0.721183333,0.038170966,7.568,7.518,7.353,48,56,35.47,35.18,36.58,35.59,36.4,-0.12,NA,0.292,NA,NA,NA,NA,NA,NA,2420830121967.17,2596665112563.53,2729318022903.95,2543816497049.7,2701200729304.56,NA,NA,NA,NA,NA,94.37374878,NA,91.66149139,112.9578629,NA,96.82868195,73.47688293,74.37950897,73.79296875,27.44212914,28.06055069,28.57290077,2.65147e+12,2.70111e+12,2.8705e+12,6.795383419,6.532989011,4.041554187,1980.66702,1996.915087,2100.751461,5.665781149,5.433077451,2.992664406,6182.922109,6675.361294,6997.863988,2.43959e+12,2.71403e+12,2.89403e+12,1820,2010,2120,8.18743e+12,8.93265e+12,9.47127e+12,6120,6600,6930,15.17952565,15.43479585,15.67452077,18.76466513,17.97117837,15.07340151,31621,33766,34173,14961,16289,19454,NA,252.70392,0.66571,0.65282,NA,23688,26264,26619,242482,297750,322293,5.41,5.33,5.27,33.6,34.03,34.472,3.8,2891582,4.2,2116,96.85,73.8,66.1,0.4,20.1,49.2,NA,NA,53.1,2.4,34
