Country Name,Country Code,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio
Mali,MLI,,,,,,61.59251,59.37863,55.36279,6.87478,874.552414231923,0.427,30.76140976,46.157341,49.61439133,58.94142,29.92706,4.904735565,19140461606.0,873.7948624,2347.79667440968,47544840719.2225,17.39404519,27.72424309,12.38635976,44.677
Malta,MLT,,,,,,96.87554,96.55773,90.30803,45.08241,33641.5956848401,,94.94000244,99.44999695,109.0223694,99.53764,92.96077,71.49815369,17364044944.0,33486.67198,43243.1726484364,22284590647.264,1610.4125,,,94.81
Marshall Islands,MHL,,,,,,83.46782,99.7082,124.81814,42.86175,6111.27229488704,0.7773648833269577,,,71.93443298,73.15121,55.85237,25.82278061,259538700.0,6172.145065,4147.09724518726,245483274.331615,241.1833333,,,78.162
Mauritania,MRT,,,,,,64.12793,74.44691,36.06043,5.62173,2166.0447966256,,66.95999908,76.48999786,72.909729,79.5744,30.97658,5.874619961,9996249658.0,2166.046799,5389.64648844584,25060023691.4671,4.364610459,52.97169722,29.73459872,56.133
Mauritius,MUS,,,,,,98.23855,96.1962,112.42863,38.67412,8872.95918952896,0.4017771669589119,92.15000153,99.30000305,96.37744141,94.80512,84.30832,44.26018906,11529042672.0,9106.237202,20528.8336499786,25984165904.1239,623.5172414,,,40.775
Moldova,MDA,,,,,,95.06012,87.14635,87.03809,41.27717,,,99.59999847,99.69999695,107.4666824,86.31417,77.95594,62.87543106,13679221333.0,5230.661733,12941.8927818422,33914165325.3535,91.74732605,43.96909513,,42.998
Monaco,MCO,,,,,,78.70327,,,0.0,234317.084818276,,,,,,,,8596096984.0,234315.4605,,,18215.0962,,,100.0
Mongolia,MNG,,,,,,90.89742,94.94516,95.03449,64.27418,4509.85839327106,,99.18327332,99.07434082,96.64516449,97.69756,,67.69602203,15286441818.0,4566.140154,12365.9384827552,40539157200.5084,2.115133618,70.13694799,48.24370285,68.785
Montenegro,MNE,,,,,,80.4986,92.89657,95.35183,55.34459,9252.31191553621,,98.98000336,99.05000305,101.1141281,96.54847,89.07485,55.64271164,5861268039.0,9465.703999,19989.6536652962,12419691760.1705,46.19375465,,,67.826
Morocco,MAR,,,,,,89.25434,98.42964,94.80046,24.57194,3853.28333173025,0.6385806545384929,75.93000031,98.36000061,104.0223694,99.09904,64.4924,43.44620895,142866000000.0,3795.380127,7368.8916015625,276391560113.67,82.20652476,15.97089544,22.0739888,64.065
Mozambique,MOZ,,,,,,30.74917,87.55633,31.1988,5.97472,491.839112776531,0.3445889461684653,63.41999817,72.48000336,58.184021,93.92934,19.27829,7.312550068,15776758633.0,491.8391128,1297.29871622243,40547635700.4735,39.64780259,14.48428044,8.947026088,37.628
Myanmar,MMR,,,,,,74.79233,94.52788,59.43709,13.52817,1088.92520628649,0.30204690559651964,89.06994629,95.41512299,95.39961243,97.93192,64.05857,18.81594086,65091751273.0,1209.926942,5123.40770860442,278763558003.178,81.85330718,32.04676134,12.8090045,31.448
Namibia,NAM,,,,,,90.59279,89.7437,91.98586,9.33008,4836.17424146373,0.535304003756495,92.25,95.55000305,109.6690598,97.48892,,27.25959969,12310595844.0,4865.557765,9358.53716756859,23779256825.6697,3.023355075,33.23709443,,53.005
Nepal,NPL,,,,,,70.09826,96.88675,90.40701,15.83248,1205.50000220085,0.22723202654021135,71.15000153,94.18000031,103.6313095,96.2984,61.87253,16.77843475,36288830373.0,1208.218534,3996.66547005558,116450074441.239,204.7340565,23.32686715,4.900507871,21.008
Nicaragua,NIC,,,,,,48.40927,96.9525,84.69859,17.20339,2045.53428665041,,82.61454773,91.57177734,,,,19.56018066,14013022092.0,2045.535402,5573.86872875058,36924394382.5196,56.14006149,26.41975278,15.66083842,59.277
Niger,NER,,,,,,64.39554,61.01873,24.10713,1.71459,590.629477265162,0.162000003281237,37.34000015,47.15999985,57.86463928,65.12458,20.06691,4.373439789,14915001427.0,590.6294548,1288.15351243721,31181863187.6889,19.2102621,31.57621257,5.28933079,16.751
Nigeria,NGA,,,,,,79.33841,63.8372,46.32931,10.40532,2019.30806281872,,62.01601028,75.02874756,,,,12.10081959,440834000000.0,2065.749068,5185.98858372607,1069037544836.01,228.737667,13.20364569,16.85184726,52.746
Oman,OMN,,,,,,98.67517,91.09336,109.29447,28.57509,19509.4664864,0.7965369437868502,95.6515274,98.61782837,99.2078476,86.25355,96.19256,47.41336823,88191977373.0,19509.46646,31117.7577060692,158906626092.482,14.67980291,40.40524052,35.17033955,87.044
Pakistan,PAK,,,,,,79.58989,72.9792,55.85644,10.35523,1480.11072689193,0.36435454302717624,57.99885941,72.70355988,72.92545319,67.5748,37.40039,12.22064018,348263000000.0,1505.010193,5426.01978790109,1198566159001.6,294.7238753,18.998212,19.95654906,37.44
Panama,PAN,,,,,,93.23974,95.89735,93.59704,38.73935,14617.596617491,0.7166339735005621,95.73607635,98.88173676,86.94606781,86.23979,63.79138,44.38285065,63605100000.0,14617.60448,26780.3006033508,115550784073.719,57.89156107,63.45957206,43.64432245,68.775
Papua New Guinea,PNG,,,,,,45.48143,86.01087,73.22081,1.89424,2672.9671739215,,,,77.12384796,73.65048,32.38128,,26594305746.0,2672.94579,4285.76547486009,38344859419.241,21.52903767,29.20429998,,13.456
Paraguay,PRY,,,,,,84.14677,88.54507,84.21065,35.08085,6035.14306386803,0.6331575652610347,94.54454803,98.64470673,87.18881226,,,,39495431574.0,5891.499965,13034.7165447496,92970506796.9232,16.65918701,81.01737968,50.63261891,62.496
Peru,PER,,,,,,90.50577,92.81158,100.32442,40.51279,6621.65260383678,0.8202828914403454,94.49793243,99.43636322,116.2062225,95.65167,89.30975,70.73786163,223249000000.0,6621.574336,11908.0607001648,392630743564.487,26.01934063,41.11876288,32.27822918,78.5
Philippines,PHL,,,,,,75.77984,95.9844,92.06591,35.75333,3460.53112301115,,96.27816772,98.38450623,94.82428741,93.7756,65.55881,35.52219009,394086000000.0,3460.530963,8394.24225784877,919850174367.918,376.2651407,26.07342553,14.07176664,47.684
Qatar,QAT,,,,,,97.73958,92.09112,101.51929,15.83137,66798.76705368,,93.46396637,94.64411163,94.9597168,94.09431,,25.04125023,179677000000.0,66838.35743,89961.4332328736,259184286829.903,240.2423847,28.44599086,,99.278
Romania,ROU,,,,,,94.04994,86.987,94.48082,53.21586,14697.7542889102,,98.90000153,99.5,85.29187012,82.22835,82.84805,53.23083878,284088000000.0,14858.22943,32202.2086556273,620134677229.915,83.73283206,17.27291281,9.384201156,54.329
Rwanda,RWA,,,,,,34.74747,96.12131,45.5826,7.52925,822.315748727688,0.23249998188989782,75.90000153,86.90000153,91.00105286,94.78978,35.87144,7.266137123,11070356519.0,822.3479886,2213.568597609,28670603112.0687,532.8886096,49.46709999,8.690378348,17.568
Samoa,WSM,,,,,,89.95051,96.05325,102.30564,7.56238,3918.65810408444,,99.09999847,99.09999847,114.1693497,94.41308,85.51776,18.53573036,843842416.5,3857.318464,6764.5599909255,1342156347.79953,77.31258993,,,17.742
San Marino,SMR,,,,,,96.24559,92.70895,93.68213,59.849,50425.1021435289,,,,99.14286041,,66.54351,56.70391083,1541204338.0,45320.20872,59571.9068046212,2021751373.13523,566.7833333,,,97.62
Sao Tome and Principe,STP,,,,,,79.5331,94.91071,105.99408,13.40603,2485.81755237744,0.6817389683612134,93.80000305,98.09999847,84.34609222,93.0763,65.23344,18.10054016,526653790.7,2360.543554,,,227.7510417,,,75.073
Saudi Arabia,SAU,,,,,,98.68772,96.41565,108.14994,61.11202,23185.8707917802,,97.58506775,99.49841309,104.875267,94.5456,96.36052,71.40963745,833541000000.0,23185.87079,46778.2983720365,1628533458010.4,16.7452549,24.31725909,47.17531067,84.508
Senegal,SEN,,,,,,61.36691,71.12015,39.01792,7.38946,1636.87982521049,,56.29999924,76.40000153,62.98918915,75.3821,37.66861,15.62588978,27625388352.0,1636.893209,3503.5950167704,58663949709.1524,85.36913728,39.37778755,19.13760494,48.6
Serbia,SRB,,,,,,98.30033,96.24177,99.1817,58.05497,8643.29239749049,,99.48252869,99.99944305,98.06678772,94.55098,92.06535,69.18002319,63082047650.0,9230.178316,19093.9553065153,131731603498.018,78.88321518,36.20582512,20.51096187,56.651
Seychelles,SYC,,,,,,84.87894,94.68504,110.05979,6.4694,12084.6276388685,,96.19999695,99.09999847,99.15857697,92.21011,80.06115,17.29747009,1454458184.0,14653.30939,28338.9771447603,2790312367.62739,214.0478261,,,57.972
Sierra Leone,SLE,,,,,,47.75172,97.93864,63.26079,2.17272,504.621238052416,0.40984511893914244,47.70000076,71.90000153,98.01812744,98.11179,41.76675,,4042237864.0,480.0392113,1726.96415670972,13775967173.6111,114.0755057,33.85425223,14.68326461,43.372
Singapore,SGP,,,,,,98.67684,,,,66821.7161136585,,97.1318512,99.72624969,101.4013977,99.66959,99.78462,93.13477325,396987000000.0,72794.00302,99681.2941505156,566768600050.061,7918.951253,100.0,100.0,100.0
Solomon Islands,SLB,,,,,,71.45964,80.72902,75.02395,0.0,2305.98114712729,,,,85.69419861,67.47257,,,1631486532.0,2304.844567,2618.32370212961,1798468947.87138,24.69421222,,,25.128
Sri Lanka,LKA,,,,,,98.20196,97.17662,99.68429,20.70601,3918.01916760614,0.14573811722117283,92.38230133,98.85923004,98.24330902,99.10711,91.03783,21.61236954,88927263725.0,4013.687657,13226.7300579257,289916696139.673,354.3323634,14.81351986,,18.86
Sudan,SDN,,,,,,79.43073,53.78016,53.66841,16.92467,785.577295220761,,60.6971817,73.0,64.08550262,60.00534,,16.91901016,34326058557.0,751.8213501,4142.11083984375,181628528720.045,23.79041006,36.85379054,13.11736974,35.593
Suriname,SUR,,,,,,85.87098,91.39313,99.85455,12.65156,5259.26297187575,,95.0,98.90000153,80.37663269,86.02531,57.78983,,2984706244.0,4869.134226,16733.3826783171,9816371214.11188,3.891442308,,,66.219
Syrian Arab Republic,SYR,,,,,,93.16371,66.66408,60.92655,32.98134,924.711783316654,0.5347945464874077,,,,,,43.04687881,11079795397.0,533.3852317,,,113.1220117,20.38599649,27.22690432,56.124
Tajikistan,TJK,,,,,,98.61795,97.33356,97.4399,26.3745,897.051476423965,,,,94.91239166,98.28703,,31.25655937,8746270636.0,897.0475103,3854.19043507558,36759888569.5751,68.76004755,34.71471751,,27.726
Thailand,THA,,,,,,93.47052,92.35607,127.69083,52.50537,7066.67548675631,0.5974237615189485,94.09999847,98.80000305,94.78276825,,77.27069,43.82606506,505947000000.0,7066.190546,18197.9424146923,1270215980190.79,139.9042142,28.7095605,20.45621979,52.163
Timor-Leste,TLS,,,,,,81.2276,96.64362,81.47267,18.14971,1517.22388113937,,69.90000153,85.09999847,101.2898636,92.30953,62.73563,,3621222382.0,2741.393931,4140.95507041672,5459609084.95037,87.42400807,,,31.695
Togo,TGO,,,,,,52.8342,91.16781,67.82578,10.11762,943.939354111967,0.41912975005129144,66.53707886,87.89144135,90.83332062,90.73097,41.01339,15.40007019,8413200568.0,973.2061291,2223.31695636514,18406256349.3874,155.2230189,50.00751022,21.68225653,43.358
Tonga,TON,,,,,,90.39115,87.19019,106.6456,6.3486,4450.53149261273,,99.40000153,99.40000153,108.4460831,85.94145,82.07469,18.40023994,469231309.5,4426.000637,6693.78564060753,707513060.855294,146.1861111,,,23.104
Trinidad and Tobago,TTO,,,,,,89.38737,95.23794,97.53246,11.95117,16032.5027682099,,,,,,,,24460196271.0,16032.50277,26125.1532914982,36561916905.0721,295.9350877,66.97951378,,53.265
Tunisia,TUN,,,,,,93.97138,98.56518,101.00032,34.58367,3807.18456310206,,82.69999695,97.69999695,104.7017365,,,32.75600052,46686741814.0,3807.13915,10878.8231940284,128572655619.762,78.28091529,28.03486634,19.59300807,69.888
Uganda,UGA,,,,,,24.8378,93.65028,31.41064,4.48339,930.372362345049,,79.0,90.80000305,52.67176056,,,5.061920166,40529789026.0,883.8920323,2294.14798353267,104936622914.768,221.447292,29.61086679,7.566464861,25.553
Ukraine,UKR,,,,,,98.52954,96.17551,102.30148,82.30503,4596.34917496562,,100.0,99.90000153,,,,,200086000000.0,4835.571777,13087.3095703125,546334786278.487,76.16853469,9.822400267,12.41092639,69.757
United Arab Emirates,ARE,,,,,,91.95901,90.73824,95.16721,22.03907,43295.3930816513,,98.12635803,99.66266632,104.7111969,95.02753,92.79992,53.71601868,415022000000.0,44315.55418,66766.0539321336,660342979810.375,130.7700507,35.73252273,65.88198047,87.299
Uruguay,URY,,,,,,94.74364,99.20272,110.02917,63.13378,17312.6417779094,0.9549774918501448,98.7703476,99.02065277,102.6509476,99.3775,88.21273,67.88320923,59319484711.0,17313.18835,22728.2153251936,78951615236.9388,19.592538,53.72762972,51.36522039,95.603
Uzbekistan,UZB,,,,,,98.07832,91.91436,98.94101,8.93419,2031.57157919417,0.5087848898356809,99.99994659,99.99992371,105.9979782,94.59704,90.85635,21.24823952,69238903106.0,1983.064723,7746.43096873822,265176212243.395,77.68535119,14.45567941,7.28956526,50.427
Vanuatu,VUT,,,,,,71.45201,98.91435,68.56449,4.7444,3072.57222064296,0.22249492267827925,89.09999847,96.90000153,94.18134308,79.84105,48.94452,,956332655.7,2996.621062,3036.11676727198,932543265.067587,25.56890894,,,25.665
Zambia,ZMB,,,,,,55.48901,87.40411,62.81236,2.21834,1094.50161325854,,87.5,93.19999695,,83.16745,,,22147634727.0,1137.343633,3457.3281021266,63559367707.0588,25.46135272,33.02154076,14.92309529,45.192
Zimbabwe,ZWE,,,,,,76.92688,85.86239,68.09738,5.87175,1507.99478989121,0.32,89.69999695,90.69999695,84.81861877,,,8.87594986,28371238666.0,1773.920411,2251.45567397734,33463221326.061,40.50579294,29.84336446,9.640301912,32.303
Grenada,GRD,,,,,,,93.76078,104.49319,52.77734,8950.22856200233,,,,123.0012283,95.86628,87.72998,104.561882,1122807407.0,9010.572245,15273.5403558146,1718563487.2959,363.7147059,,,36.694
Nauru,NRU,,,,,,,86.42715,77.3208,0.0,12390.3701149419,,,,116.8776398,93.69858,71.80984,,133218896.9,10648.14139,14337.2654088139,155329933.439089,615.75,,,100.0
Palau,PLW,,,,,,,98.96391,103.61702,61.8638,12084.1282734132,,96.59374237,98.66443634,101.6326523,,,,217800000.0,12083.88815,16318.6789479118,295237539.52562,39.06956522,,,81.483
Puerto Rico,PRI,,,,,,,81.60752,87.87756,85.33584,32716.4569837852,,92.40000153,92.40000153,,76.27147,75.91911,97.49925232,106526000000.0,32640.71034,34333.7472481387,112667496277.163,369.9591883,80.06216496,74.93179278,93.592
Somalia,SOM,,,,,,,14.99956,9.30505,2.78397,446.997757293079,0.42351517975918446,,75.69000244,,,,,7628000011.0,446.9815596,1245.64228299398,19797265599.2833,26.36053177,29.94288216,13.99260887,46.731
South Sudan,SSD,,,,,,,40.58982,17.08492,,400.442902935503,,34.52275848,47.90095901,21.47343636,35.20717,5.48403,0.749819994,,,1234.72557564895,13230895757.7817,16.78386372,19.10707102,,20.514
Tuvalu,TUV,,,,,,,84.59344,99.41383,0.0,5370.41927052836,,,,88.32685089,76.2475,66.72794,,63100961.54,5632.002993,4791.67926519187,56503481.8951426,368.9666667,,,64.785
British Virgin Islands,VGB,,,,,,,,111.22864,62.4871,49443.8688708952,,,,114.4475937,,68.10811,30.16436958,,,,,206.0666667,,,48.92
Turkmenistan,TKM,,,,,,,,87.36086,7.98444,8507.66760018503,,,,,,,15.61021996,45231428571.0,7344.648233,16194.2126155691,96227533617.6977,13.30078522,25.72688465,,52.998
Gibraltar,GIB,,,,,,,,,0.0,,,,,117.5946503,99.70191,93.83962,,,,,,3270.9,,,100.0
Cabo Verde,CPV,,,,,,,,,,3293.23332217177,,90.77999878,98.68000031,99.99017334,93.42191,70.42826,23.61651039,1936174043.0,3293.233054,6376.12227912431,3545047473.72576,144.5756824,,,67.102
French Polynesia,PYF,,,,,,,,,,19914.5990586098,,,,,,,,6054676735.0,19914.60351,,,86.98357822,,,62.066
Greenland,GRL,,,,,,,,,,58185.2407468413,,,,,,,,3076015347.0,54571.20916,,,0.13732976,,,87.507
Kosovo,XKX,,,,,,,,,,5663.08649820687,,,,,,,,9412034299.0,5269.783901,11292.8626513626,20215726096.6717,,,,
Libya,LBY,,,,,,,,,,5791.25497649797,,,,,,,,42817472975.0,6357.19555,17286.3681373478,118779596659.372,3.781637246,21.4436947,17.36810528,80.994
New Caledonia,NCL,,,,,,,,,,34994.2658344617,,,,,,,,10071351960.0,37159.54677,,,14.83205689,,,71.925
Sint Maarten (Dutch part),SXM,,,,,,,,,,26198.6927663513,,,,,,,5.909230232,1185474860.0,28988.25921,35973.1825021864,1471123298.42691,1244.411765,,,100.0
Turks and Caicos Islands,TCA,,,,,,,,,,20908.5819922862,,,,114.1199188,,,11.45833015,943269800.0,20908.5827,22283.9778508705,862791054.430005,46.60631579,,,93.834
American Samoa,ASM,,,,,,,,,,,,,,,,,,709000000.0,15743.31076,,,230.945,,,87.169
Eswatini,SWZ,,,,,,,,,,,0.2431964597380402,89.27999878,95.88999939,88.59642792,82.52357,41.69996,,4743335153.0,3978.403528,8865.01713753376,10284873742.3497,68.64273256,,,24.369
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,3649886275.0,69010.3098,,,38.37115666,,,42.583
Guam,GUM,,,,,,,,,,,,,,,,,,6123000000.0,35904.86355,,,313.3907407,,,95.015
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,1182000000.0,23707.32881,,,107.7978261,,,91.89
Africa Eastern and Southern,AFE,,,,,,,,,,,,71.88990784,81.22537994,71.96916199,,,9.553099632,1089450000000.0,1549.77273,3659.27286844549,2478218029367.22,46.15069209,28.37018858,14.7213318,37.32369749
Africa Western and Central,AFW,,,,,,,,,,,,60.23498917,71.46015167,70.15052795,,,10.23192024,840187000000.0,1757.030626,4241.52249851724,1946025265851.92,51.53667929,23.53857921,17.48353424,48.45480627
