"","Country","IPUMS_IDV"
"1","Argentina",0.15095059391854
"2","Austria",1.69039267000559e-15
"3","Bangladesh",-1.23250284499936
"4","Brazil",0.0595972939672916
"5","Belarus",1.18228009817362
"6","Canada",1.16367688232796
"7","Switzerland",1.5902331300387
"8","Chile",0.527804615934027
"9","China",1.69039267000559e-15
"10","Colombia",-0.458407200913375
"11","Costa Rica",-0.060564568505126
"12","Germany",1.69039267000559e-15
"13","Ecuador",-0.400852563046439
"14","Egypt",-1.02355148486934
"15","Spain",1.69039267000559e-15
"16","Finland",1.69039267000559e-15
"17","France",1.56401882142053
"18","Greece",1.69039267000559e-15
"19","Hungary",1.69039267000559e-15
"20","Indonesia",-0.564483034778404
"21","Ireland",1.4014883718732
"22","Israel",1.69039267000559e-15
"23","Iran",-0.171049068149989
"24","Italy",1.24444090551664
"25","Kenya",-1.05830677100122
"26","Morocco",-1.52151059896052
"27","Mexico",-0.640486159941833
"28","Malaysia",-1.35438816817454
"29","Netherlands",1.69039267000559e-15
"30","Panama",-0.106869876496887
"31","Peru",-0.527692577247672
"32","Philippines",-1.46680884899593
"33","Pakistan",-4.16246167015469
"34","Poland",1.69039267000559e-15
"35","Puerto Rico",1.06940079738482
"36","Portugal",0.998350727217995
"37","Romania",0.91050763480536
"38","Russia",0.991179675963603
"39","Slovenia",0.721067442255966
"40","Slovakia",1.69039267000559e-15
"41","Thailand",-0.309637583427333
"42","Turkey",0.00342025443584625
"43","Trinidad and Tobago",0.164272154463124
"44","Ukraine",1.69039267000559e-15
"45","United Kingdom",1.69039267000559e-15
"46","United States",1.55331980693375
"47","Uruguay",0.807400646837813
"48","Venezuela",-1.02939435275497
"49","Vietnam",1.69039267000559e-15
"50","South Africa",-0.0144424810510952
