Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Cuba,CUB,GDP per capita (current US$),7683.757891,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,
Curacao,CUW,GDP per capita (current US$),19260.26985,18881.83062,18788.80728,18956.09797,19024.17715,16109.86175,17717.59648
Cayman Islands,CYM,GDP per capita (current US$),77298.62806,78861.11927,81258.03776,85234.84272,89871.91314,83329.45877,86568.76964
Cyprus,CYP,GDP per capita (current US$),23487.125,24715.73047,26697.17188,29418.93555,29417.13867,28036.18945,31551.81641
Czechia,CZE,GDP per capita (current US$),17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26821.24523
Germany,DEU,GDP per capita (current US$),41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447
Djibouti,DJI,GDP per capita (current US$),2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3150.436729
Dominica,DMA,GDP per capita (current US$),7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7653.17187
Denmark,DNK,GDP per capita (current US$),53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667
Dominican Republic,DOM,GDP per capita (current US$),6838.936594,7191.076572,7513.491343,7947.158207,8173.338007,7167.919159,8476.752157
Algeria,DZA,GDP per capita (current US$),4197.421361,3967.199451,4134.93672,4171.795011,4022.150184,3337.252512,3690.627878
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),6501.868829,6591.282343,7149.207647,7944.551234,8169.167837,8262.479253,9771.648206
Early-demographic dividend,EAR,GDP per capita (current US$),3199.519646,3257.901212,3472.697624,3467.178198,3489.17025,3215.092925,3703.900123
East Asia & Pacific,EAS,GDP per capita (current US$),9586.901027,9854.946329,10452.71904,11310.49888,11482.53168,11475.46251,13041.78119
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),7458.335046,7044.336289,7864.645065,7994.780168,8129.886017,7441.465307,8758.938553
Europe & Central Asia,ECS,GDP per capita (current US$),22556.57364,22379.64835,23643.40045,25243.79473,24870.26199,23984.27873,27152.47123
Ecuador,ECU,GDP per capita (current US$),6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),3370.382447,3331.612461,2315.896627,2407.086543,2869.576588,3398.801432,3698.834981
Euro area,EMU,GDP per capita (current US$),34388.81001,35164.06706,37157.11326,40045.56602,39182.54834,38159.72991,42450.15377
Eritrea,ERI,GDP per capita (current US$),,,,,,,
Spain,ESP,GDP per capita (current US$),25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26959.67544,30103.51373
Estonia,EST,GDP per capita (current US$),17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122
Ethiopia,ETH,GDP per capita (current US$),630.3126821,705.616305,755.7517677,758.2990596,840.4494515,918.6525941,925.077428
European Union,EUU,GDP per capita (current US$),30484.52789,31175.15052,33089.22846,35751.21997,35079.46915,34330.36653,38411.06278
Fragile and conflict affected situations,FCS,GDP per capita (current US$),1891.182273,1744.358329,1805.537597,1858.132956,1884.581577,1716.216385,1796.396294
