Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Denmark,DNK,GDP (current US$),3.13116E+11,3.32121E+11,3.56841E+11,3.46499E+11,3.55222E+11,3.98303E+11
Dominican Republic,DOM,GDP (current US$),75704720190,79997975622,85555378043,88941299734,78844702329,94243453937
Algeria,DZA,GDP (current US$),1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11,1.63044E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1.36125E+13,1.48773E+13,1.66404E+13,1.72079E+13,1.74869E+13,2.07518E+13
Early-demographic dividend,EAR,GDP (current US$),1.04582E+13,1.12951E+13,1.14219E+13,1.1638E+13,1.08514E+13,1.26373E+13
East Asia & Pacific,EAS,GDP (current US$),2.2772E+13,2.43249E+13,2.64823E+13,2.70283E+13,2.71273E+13,3.09117E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),2.77773E+12,3.11819E+12,3.18254E+12,3.24864E+12,2.98263E+12,3.51737E+12
Europe & Central Asia,ECS,GDP (current US$),2.04186E+13,2.16539E+13,2.31936E+13,2.291E+13,2.214E+13,2.50828E+13
Ecuador,ECU,GDP (current US$),99937696000,1.04296E+11,1.07562E+11,1.08108E+11,99291124000,1.06166E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.65253E+11,4.04143E+11
Euro area,EMU,GDP (current US$),1.19737E+13,1.26797E+13,1.36982E+13,1.34182E+13,1.30855E+13,1.45633E+13
Eritrea,ERI,GDP (current US$),,,,,,
Spain,ESP,GDP (current US$),1.23355E+12,1.31325E+12,1.4217E+12,1.39432E+12,1.27696E+12,1.42738E+12
Estonia,EST,GDP (current US$),24072829277,26924385103,30624720196,31081901909,31370395573,37191166152
Ethiopia,ETH,GDP (current US$),74296618481,81770791971,84269348327,95912590628,1.07658E+11,1.11271E+11
European Union,EUU,GDP (current US$),1.3889E+13,1.47649E+13,1.59808E+13,1.56934E+13,1.53694E+13,1.71774E+13
Fragile and conflict affected situations,FCS,GDP (current US$),1.56286E+12,1.65405E+12,1.73993E+12,1.80439E+12,1.68089E+12,1.79902E+12
Finland,FIN,GDP (current US$),2.40771E+11,2.55648E+11,2.75708E+11,2.68515E+11,2.71892E+11,2.97302E+11
Fiji,FJI,GDP (current US$),4930204220,5353404419,5581371848,5481675173,4477040340,4296304590
France,FRA,GDP (current US$),2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63901E+12,2.95788E+12
Faroe Islands,FRO,GDP (current US$),2813286391,2980054219,3188610522,3275706960,3248696902,3649886275
"Micronesia, Fed. Sts.",FSM,GDP (current US$),332265200,366666800,401932300,412000000,408000000,404028900
Gabon,GAB,GDP (current US$),14023890620,14929488771,16867326390,16874405460,15314577168,20216843174
United Kingdom,GBR,GDP (current US$),2.69966E+12,2.6834E+12,2.87815E+12,2.85706E+12,2.70461E+12,3.13138E+12
Georgia,GEO,GDP (current US$),15141758567,16242916916,17596922470,17470436259,15842922533,18629365597
Ghana,GHA,GDP (current US$),56165172899,60406382899,67299280680,68337537816,70043199814,77594279055
Gibraltar,GIB,GDP (current US$),,,,,,
Guinea,GIN,GDP (current US$),8595955581,10324668267,11857030337,13442861444,14177835816,16091817842
"Gambia, The",GMB,GDP (current US$),1484579844,1504909753,1670670669,1813608280,1812169484,2038417462
Guinea-Bissau,GNB,GDP (current US$),1179004941,1350177128,1504630121,1439638443,1431758243,1638517533
Equatorial Guinea,GNQ,GDP (current US$),11240809132,12200912828,13097011143,11364133802,10099158075,12269392840
Greece,GRC,GDP (current US$),1.93148E+11,1.99844E+11,2.12049E+11,2.05257E+11,1.88926E+11,2.14874E+11
Grenada,GRD,GDP (current US$),1061640741,1125681481,1166511111,1213485185,1043414815,1122807407
Greenland,GRL,GDP (current US$),2707146783,2851610656,3055791341,2994332324,3076015347,
Guatemala,GTM,GDP (current US$),66053725049,71654134379,73328024537,77170421168,77625486978,85985752107
Guam,GUM,GDP (current US$),5901000000,6013000000,6056000000,6366000000,5886000000,6123000000
Guyana,GUY,GDP (current US$),4482697337,4748174334,4787636237,5173760192,5471256595,8044498801
High income,HIC,GDP (current US$),4.92797E+13,5.15381E+13,5.47992E+13,5.52729E+13,5.38746E+13,5.98297E+13
"Hong Kong SAR, China",HKG,GDP (current US$),3.20858E+11,3.41273E+11,3.61731E+11,3.63052E+11,3.44932E+11,3.69176E+11
Honduras,HND,GDP (current US$),21717622071,23136232230,24067778954,25089976947,23827840810,28488668302
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),7.28313E+11,8.08419E+11,7.70673E+11,7.97572E+11,8.03236E+11,8.91901E+11
Croatia,HRV,GDP (current US$),52397494687,56323836170,62316840750,62327983580,57472012427,68955083280
Haiti,HTI,GDP (current US$),13987693739,15035560373,16455034353,14785839383,14508218017,20944392615
Hungary,HUN,GDP (current US$),1.2861E+11,1.43112E+11,1.60565E+11,1.63989E+11,1.57182E+11,1.81848E+11
IBRD only,IBD,GDP (current US$),2.60599E+13,2.87701E+13,3.06032E+13,3.12506E+13,3.0069E+13,3.55114E+13
IDA & IBRD total,IBT,GDP (current US$),2.81667E+13,3.0973E+13,3.28917E+13,3.36002E+13,3.24044E+13,3.80628E+13
IDA total,IDA,GDP (current US$),2.10553E+12,2.20201E+12,2.28768E+12,2.34878E+12,2.33505E+12,2.54911E+12
IDA blend,IDB,GDP (current US$),9.77135E+11,9.598E+11,1.04839E+12,1.04264E+12,1.00207E+12,1.09648E+12
Indonesia,IDN,GDP (current US$),9.31877E+11,1.01562E+12,1.04227E+12,1.1191E+12,1.05869E+12,1.18609E+12
IDA only,IDX,GDP (current US$),1.12934E+12,1.24405E+12,1.2405E+12,1.30846E+12,1.33638E+12,1.45625E+12
Isle of Man,IMN,GDP (current US$),6846691871,6979581725,7491969313,7315388052,,
India,IND,GDP (current US$),2.2948E+12,2.65147E+12,2.70293E+12,2.83155E+12,2.66769E+12,3.1763E+12
Not classified,INX,GDP (current US$),,,,,,
Ireland,IRL,GDP (current US$),2.99091E+11,3.36378E+11,3.85737E+11,3.99322E+11,4.25852E+11,5.04183E+11
"Iran, Islamic Rep.",IRN,GDP (current US$),4.57955E+11,4.8663E+11,3.31682E+11,2.83747E+11,2.39736E+11,3.59713E+11
Iraq,IRQ,GDP (current US$),1.66602E+11,1.87218E+11,2.27367E+11,2.33636E+11,1.8437E+11,2.07889E+11
Iceland,ISL,GDP (current US$),20793168031,24728285177,26264127687,24826102120,21694674810,25602419210
Israel,ISR,GDP (current US$),3.22103E+11,3.58245E+11,3.76692E+11,4.02471E+11,4.13268E+11,4.88527E+11
Italy,ITA,GDP (current US$),1.87707E+12,1.9618E+12,2.09193E+12,2.0113E+12,1.89676E+12,2.1077E+12
Jamaica,JAM,GDP (current US$),14077109397,14808989993,15730793853,15830768550,13812425037,14657586937
Jordan,JOR,GDP (current US$),39892551149,41608435922,43370860549,44993992365,44182298292,45744271659
Japan,JPN,GDP (current US$),5.00368E+12,4.93084E+12,5.03784E+12,5.12332E+12,5.04011E+12,4.94088E+12
