Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Uganda,UGA,GDP (current US$),29203988815,30744473912,32927025573,35353060634,37600368181,40529789026
Ukraine,UKR,GDP (current US$),93355993629,1.12091E+11,1.30891E+11,1.53883E+11,1.56618E+11,2.00086E+11
Upper middle income,UMC,GDP (current US$),1.95498E+13,2.16448E+13,2.33045E+13,2.36817E+13,2.28514E+13,2.71041E+13
Uruguay,URY,GDP (current US$),57236652490,64233966861,64515038268,61231149881,53560755047,59319484711
United States,USA,GDP (current US$),1.86951E+13,1.94773E+13,2.05331E+13,2.1381E+13,2.10605E+13,2.33151E+13
Uzbekistan,UZB,GDP (current US$),86138288615,62081323299,52633143808,59907674027,59894305353,69238903106
St. Vincent and the Grenadines,VCT,GDP (current US$),814302259.3,847620222.2,884328185.2,910149703.7,872134555.6,904181492.8
"Venezuela, RB",VEN,GDP (current US$),,,,,,
British Virgin Islands,VGB,GDP (current US$),,,,,,
Virgin Islands (U.S.),VIR,GDP (current US$),3798000000,3794000000,3922000000,4117000000,4204000000,
Vietnam,VNM,GDP (current US$),2.57096E+11,2.81354E+11,3.10106E+11,3.34365E+11,3.46616E+11,3.66138E+11
Vanuatu,VUT,GDP (current US$),780889605.9,880062103,914736985.4,936526267.6,896879875.2,956332655.7
World,WLD,GDP (current US$),7.64694E+13,8.14095E+13,8.6467E+13,8.76543E+13,8.51163E+13,9.65274E+13
Samoa,WSM,GDP (current US$),843929640,884847176.2,878435084.2,912944537.8,868904477.7,843842416.5
Kosovo,XKX,GDP (current US$),6682832632,7180813376,7878508503,7899879086,7716925356,9412034299
"Yemen, Rep.",YEM,GDP (current US$),31317828584,26842231205,21606161066,,,
South Africa,ZAF,GDP (current US$),3.23586E+11,3.81449E+11,4.0416E+11,3.88532E+11,3.3762E+11,4.19015E+11
Zambia,ZMB,GDP (current US$),20958412538,25873601261,26311590297,23308667781,18110631358,22147634727
Zimbabwe,ZWE,GDP (current US$),20548678070,17584890937,34156069918,21832234926,21509698406,28371238666
